scenario_point,candidate,baseline,metric,candidate_mean,baseline_mean,mean_improvement,mean_improvement_pct,paired_t_stat,paired_t_p_value_normal_approx,cohens_d,win_rate,n
"TOTAL_TAGS=100,prefix_length=64",SGCT,DQTA(k_max=3),total_protocol_time_ms,86.915875,157.327250,70.411375,44.754723,69.574368,0.000000,9.839302,1.000000,50
"TOTAL_TAGS=100,prefix_length=64",SGCT,EMDT,total_protocol_time_ms,86.915875,131.961000,45.045125,34.135180,37.837136,0.000000,5.350979,1.000000,50
"TOTAL_TAGS=100,prefix_length=64",SGCT,NLHQT(n=2),total_protocol_time_ms,86.915875,109.232600,22.316725,20.430462,50.844756,0.000000,7.190534,1.000000,50
"TOTAL_TAGS=100,prefix_length=64",SGCT,EAQ_CBB,total_protocol_time_ms,86.915875,273.627150,186.711275,68.235654,136.141373,0.000000,19.253298,1.000000,50
"TOTAL_TAGS=100,prefix_length=64",SGCT,HT_EEAC,total_protocol_time_ms,86.915875,269.392500,182.476625,67.736342,40.370105,0.000000,5.709195,1.000000,50
"TOTAL_TAGS=100,prefix_length=72",SGCT,DRCT,total_protocol_time_ms,83.313625,302.648825,219.335200,72.471849,111.042420,0.000000,15.703770,1.000000,50
"TOTAL_TAGS=100,prefix_length=72",SGCT,LAPCT,total_protocol_time_ms,83.313625,287.499375,204.185750,71.021285,386.407929,0.000000,54.646333,1.000000,50
"TOTAL_TAGS=100,prefix_length=72",SGCT,DQTA(k_max=3),total_protocol_time_ms,83.313625,158.940800,75.627175,47.581977,61.800751,0.000000,8.739946,1.000000,50
"TOTAL_TAGS=100,prefix_length=72",SGCT,EMDT,total_protocol_time_ms,83.313625,133.260300,49.946675,37.480536,35.473026,0.000000,5.016643,1.000000,50
"TOTAL_TAGS=100,prefix_length=72",SGCT,NLHQT(n=2),total_protocol_time_ms,83.313625,101.178800,17.865175,17.657034,36.381942,0.000000,5.145184,1.000000,50
"TOTAL_TAGS=100,prefix_length=72",SGCT,EAQ_CBB,total_protocol_time_ms,83.313625,281.380575,198.066950,70.391124,139.020228,0.000000,19.660429,1.000000,50
"TOTAL_TAGS=100,prefix_length=72",SGCT,HT_EEAC,total_protocol_time_ms,83.313625,266.103300,182.789675,68.691247,47.792877,0.000000,6.758934,1.000000,50
"TOTAL_TAGS=100,prefix_length=80",SGCT,DRCT,total_protocol_time_ms,76.753925,316.557750,239.803825,75.753579,117.870542,0.000000,16.669412,1.000000,50
"TOTAL_TAGS=100,prefix_length=80",SGCT,LAPCT,total_protocol_time_ms,76.753925,291.177600,214.423675,73.640168,665.616994,0.000000,94.132458,1.000000,50
"TOTAL_TAGS=100,prefix_length=80",SGCT,DQTA(k_max=3),total_protocol_time_ms,76.753925,158.397875,81.643950,51.543589,57.811667,0.000000,8.175804,1.000000,50
"TOTAL_TAGS=100,prefix_length=80",SGCT,EMDT,total_protocol_time_ms,76.753925,131.007950,54.254025,41.412773,35.976211,0.000000,5.087805,1.000000,50
"TOTAL_TAGS=100,prefix_length=80",SGCT,NLHQT(n=2),total_protocol_time_ms,76.753925,92.836850,16.082925,17.323859,47.111683,0.000000,6.662598,1.000000,50
"TOTAL_TAGS=100,prefix_length=80",SGCT,EAQ_CBB,total_protocol_time_ms,76.753925,285.076600,208.322675,73.076035,150.428920,0.000000,21.273862,1.000000,50
