scenario_point,algorithm_name,metric,mean,std,p95,ci95,n
"TOTAL_TAGS=100,prefix_length=0",EAQ_CBB,avg_query_efficiency,1.210531,0.096770,1.371997,0.026823,50
"TOTAL_TAGS=100,prefix_length=0",EAQ_CBB,peak_stack_depth,27.360000,1.208136,29.550000,0.334878,50
"TOTAL_TAGS=100,prefix_length=0",EAQ_CBB,avg_tag_responses,3.787200,0.159835,4.024000,0.044304,50
"TOTAL_TAGS=100,prefix_length=0",EMDT,total_protocol_time_ms,130.062050,8.983683,148.171250,2.490150,50
"TOTAL_TAGS=100,prefix_length=0",EMDT,throughput_tags_per_sec,772.347836,51.680178,849.263371,14.325014,50
"TOTAL_TAGS=100,prefix_length=0",EMDT,system_efficiency,0.618577,0.059977,0.709759,0.016625,50
"TOTAL_TAGS=100,prefix_length=0",EMDT,collision_slots,48.640000,9.892813,67.750000,2.742148,50
"TOTAL_TAGS=100,prefix_length=0",EMDT,idle_slots,14.580000,6.851456,29.650000,1.899127,50
"TOTAL_TAGS=100,prefix_length=0",EMDT,total_energy_uj,667.319345,55.464876,776.729187,15.374079,50
"TOTAL_TAGS=100,prefix_length=0",EMDT,total_listening_energy_uj,655.140785,55.200260,763.935987,15.300731,50
"TOTAL_TAGS=100,prefix_length=0",EMDT,total_transmission_energy_uj,12.178560,0.297184,12.824000,0.082375,50
"TOTAL_TAGS=100,prefix_length=0",EMDT,total_bits,15687.360000,148.263109,16005.400000,41.096437,50
"TOTAL_TAGS=100,prefix_length=0",EMDT,avg_tag_bits,127.974400,0.059252,128.000000,0.016424,50
"TOTAL_TAGS=100,prefix_length=0",EMDT,avg_reader_bits,28.899200,1.487312,32.142000,0.412262,50
"TOTAL_TAGS=100,prefix_length=0",EMDT,avg_total_bits,156.873600,1.482631,160.054000,0.410964,50
"TOTAL_TAGS=100,prefix_length=0",EMDT,avg_query_efficiency,2.139478,0.435484,2.903361,0.120710,50
"TOTAL_TAGS=100,prefix_length=0",EMDT,peak_stack_depth,21.060000,1.284285,23.000000,0.355986,50
"TOTAL_TAGS=100,prefix_length=0",EMDT,avg_tag_responses,3.662000,0.208091,4.015000,0.057680,50
"TOTAL_TAGS=100,prefix_length=0",HT_EEAC,total_protocol_time_ms,271.470300,26.901757,315.870750,7.456787,50
"TOTAL_TAGS=100,prefix_length=0",HT_EEAC,throughput_tags_per_sec,371.881181,36.437427,437.117761,10.099940,50
"TOTAL_TAGS=100,prefix_length=0",HT_EEAC,system_efficiency,0.174541,0.024115,0.218396,0.006684,50
"TOTAL_TAGS=100,prefix_length=0",HT_EEAC,collision_slots,20.540000,10.744168,42.000000,2.978131,50
"TOTAL_TAGS=100,prefix_length=0",HT_EEAC,idle_slots,463.180000,84.361634,602.550000,23.383852,50
"TOTAL_TAGS=100,prefix_length=0",HT_EEAC,total_energy_uj,1242.172130,94.516036,1407.003788,26.198509,50
"TOTAL_TAGS=100,prefix_length=0",HT_EEAC,total_listening_energy_uj,1210.724130,92.002489,1370.151787,25.501789,50
"TOTAL_TAGS=100,prefix_length=0",HT_EEAC,total_transmission_energy_uj,31.448000,3.527595,37.280000,0.977799,50
"TOTAL_TAGS=100,prefix_length=0",HT_EEAC,total_bits,24370.480000,1734.835900,27223.600000,480.871978,50
"TOTAL_TAGS=100,prefix_length=0",HT_EEAC,avg_tag_bits,115.286400,1.719067,118.720000,0.476501,50
"TOTAL_TAGS=100,prefix_length=0",HT_EEAC,avg_reader_bits,128.418400,17.754280,157.806000,4.921235,50
"TOTAL_TAGS=100,prefix_length=0",HT_EEAC,avg_total_bits,243.704800,17.348359,272.236000,4.808720,50
"TOTAL_TAGS=100,prefix_length=0",HT_EEAC,avg_query_efficiency,6.155875,2.853992,10.000000,0.791086,50
"TOTAL_TAGS=100,prefix_length=0",HT_EEAC,avg_tag_responses,12.488000,3.638678,17.798000,1.008590,50
"TOTAL_TAGS=100,prefix_length=0",LAPCT,total_protocol_time_ms,254.099850,0.684218,254.512812,0.189656,50
"TOTAL_TAGS=100,prefix_length=0",LAPCT,throughput_tags_per_sec,393.548894,1.066296,395.637117,0.295562,50
"TOTAL_TAGS=100,prefix_length=0",LAPCT,system_efficiency,0.478746,0.001103,0.480769,0.000306,50
"TOTAL_TAGS=100,prefix_length=0",LAPCT,collision_slots,108.820000,0.437526,109.000000,0.121276,50
"TOTAL_TAGS=100,prefix_length=0",LAPCT,idle_slots,0.060000,0.239898,0.550000,0.066496,50
"TOTAL_TAGS=100,prefix_length=0",LAPCT,total_energy_uj,1358.568255,5.194228,1364.516681,1.439767,50
"TOTAL_TAGS=100,prefix_length=0",LAPCT,total_listening_energy_uj,1307.122175,5.110884,1312.683056,1.416665,50
"TOTAL_TAGS=100,prefix_length=0",LAPCT,total_transmission_energy_uj,51.446080,0.287622,51.855125,0.079725,50
"TOTAL_TAGS=100,prefix_length=0",LAPCT,total_bits,60092.480000,551.576192,60865.900000,152.889120,50
"TOTAL_TAGS=100,prefix_length=0",LAPCT,avg_tag_bits,458.259200,5.536497,466.476500,1.534639,50
"TOTAL_TAGS=100,prefix_length=0",LAPCT,avg_reader_bits,142.665600,0.528703,143.063000,0.146549,50
"TOTAL_TAGS=100,prefix_length=0",LAPCT,avg_total_bits,600.924800,5.515762,608.659000,1.528891,50
"TOTAL_TAGS=100,prefix_length=0",LAPCT,avg_query_efficiency,0.918963,0.003730,0.925926,0.001034,50
"TOTAL_TAGS=100,prefix_length=0",LAPCT,peak_stack_depth,9.900000,0.735402,11.000000,0.203843,50
"TOTAL_TAGS=100,prefix_length=0",LAPCT,avg_tag_responses,5.964600,0.061485,6.050000,0.017043,50
"TOTAL_TAGS=100,prefix_length=0",NLHQT(n=2),total_protocol_time_ms,177.359150,4.649047,185.399375,1.288650,50
"TOTAL_TAGS=100,prefix_length=0",NLHQT(n=2),throughput_tags_per_sec,564.204486,14.673310,584.595838,4.067234,50
"TOTAL_TAGS=100,prefix_length=0",NLHQT(n=2),system_efficiency,0.354806,0.009399,0.367647,0.002605,50
"TOTAL_TAGS=100,prefix_length=0",NLHQT(n=2),collision_slots,182.040000,7.540259,194.100000,2.090053,50
"TOTAL_TAGS=100,prefix_length=0",NLHQT(n=2),idle_slots,0.000000,0.000000,0.000000,0.000000,50
"TOTAL_TAGS=100,prefix_length=0",NLHQT(n=2),total_energy_uj,929.950530,25.071297,972.842850,6.949409,50
"TOTAL_TAGS=100,prefix_length=0",NLHQT(n=2),total_listening_energy_uj,909.001310,24.765055,951.321550,6.864523,50
"TOTAL_TAGS=100,prefix_length=0",NLHQT(n=2),total_transmission_energy_uj,20.949220,0.332430,21.516250,0.092145,50
"TOTAL_TAGS=100,prefix_length=0",NLHQT(n=2),total_bits,25659.080000,179.960182,25962.800000,49.882417,50
"TOTAL_TAGS=100,prefix_length=0",NLHQT(n=2),avg_tag_bits,202.459600,0.193211,202.731000,0.053555,50
"TOTAL_TAGS=100,prefix_length=0",NLHQT(n=2),avg_reader_bits,54.131200,1.616624,56.899000,0.448105,50
"TOTAL_TAGS=100,prefix_length=0",NLHQT(n=2),avg_total_bits,256.590800,1.799602,259.628000,0.498824,50
"TOTAL_TAGS=100,prefix_length=0",NLHQT(n=2),avg_query_efficiency,0.550242,0.022489,0.581395,0.006234,50
"TOTAL_TAGS=100,prefix_length=0",NLHQT(n=2),peak_stack_depth,10.780000,1.055404,12.000000,0.292543,50
"TOTAL_TAGS=100,prefix_length=0",NLHQT(n=2),avg_tag_responses,6.229800,0.096605,6.365500,0.026778,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,total_protocol_time_ms,123.135050,4.394029,131.743125,1.217963,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,throughput_tags_per_sec,813.114769,28.577848,857.407737,7.921375,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,system_efficiency,0.764730,0.031041,0.813008,0.008604,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,collision_slots,30.980000,5.411590,41.650000,1.500016,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,idle_slots,0.000000,0.000000,0.000000,0.000000,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,total_energy_uj,575.172240,17.529978,609.272762,4.859062,50
