scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,ICT,LAPCT,NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
scenario_label=clustered,4429.5758,4678.9697,4261.5109,1226.4278,8840.1940,7215.4206,6389.6214,4762.9785,2381.7208,1594.5986,1155.3366
scenario_label=prefix80,2408.9804,4968.6128,4403.9800,1225.3778,8869.7600,5661.0356,5087.0877,1441.5627,1773.5017,796.4500,1157.7546
scenario_label=prefixed,3638.1813,4055.1528,4092.6806,1228.8102,8785.8635,6569.0854,6151.7858,1878.5580,1573.2584,1266.0575,1157.5211
scenario_label=random,5228.7287,1899.8816,3628.0995,1226.3045,8863.5454,7918.1841,7743.4087,2358.0001,1299.1550,1324.3914,1156.1944
