scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,ICT,LAPCT,NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
scenario_label=clustered,8071158.6866,11604332.2515,13188854.8560,6850370.0326,46557596.8736,14215385.7701,14837085.6645,12591367.9167,3314995.3628,5080166.9267,5859285.7729
scenario_label=prefix80,7391037.6043,10951113.6027,14316313.6381,6838553.9139,46766552.0018,15388805.0428,15427567.5933,4592649.1559,3247662.5691,2773311.9937,5856279.1420
scenario_label=prefixed,8083388.4544,10631746.1328,13056571.9260,6838349.9927,46208914.3527,13405673.7165,14447136.9888,6640681.3892,2646186.7877,4718796.5310,5855468.7168
scenario_label=random,8201322.8645,7627339.5806,11186720.8140,6833488.6904,46738909.5459,10404408.3831,12962751.5125,9225864.0877,1817211.5175,5646402.1345,5858591.1454
