scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,ICT,LAPCT,NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
scenario_label=clustered,8075588.2623,11609011.2212,13193116.3669,6851596.4605,46566437.0676,14222601.1907,14843475.2859,12596130.8952,3317377.0836,5081761.5253,5860441.1096
scenario_label=prefix80,7393446.5847,10956082.2155,14320717.6181,6839779.2917,46775421.7618,15394466.0784,15432654.6810,4594090.7186,3249436.0708,2774108.4437,5857436.8965
scenario_label=prefixed,8087026.6357,10635801.2856,13060664.6067,6839578.8030,46217700.2163,13412242.8019,14453288.7746,6642559.9472,2647760.0462,4720062.5885,5856626.2379
scenario_label=random,8206551.5932,7629239.4621,11190348.9135,6834714.9949,46747773.0913,10412326.5672,12970494.9212,9228222.0878,1818510.6725,5647726.5259,5859747.3398
