scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,ICT,LAPCT,NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
scenario_label=clustered,6147608.8800,4775273.0800,3193802.0000,1720781.0400,7009232.1200,8663234.5000,6403631.6800,4399258.1200,3290988.6200,1547176.5200,2298613.7600
scenario_label=prefix80,1840561.9400,5324012.3400,2421086.0400,1720276.9200,7030581.7600,4429087.2400,3231228.1000,1079529.1200,1936070.3600,713225.0000,2303697.7600
scenario_label=prefixed,4928383.5400,4180638.2200,2600072.7400,1722945.4400,6968903.6000,8147862.6800,6307899.4800,1787707.2400,2006560.1200,1265072.3000,2303085.6800
scenario_label=random,9443862.3800,2054913.0800,2869709.6800,1721057.0400,7025940.6400,13725784.0400,10924927.0800,2747409.7600,2125814.9800,1654297.4000,2300479.7600
