scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,ICT,LAPCT,NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
scenario_label=clustered,16111.8540,23147.7836,26380.0188,13697.7234,79259.7620,28415.0272,29656.9846,25142.3918,7205.5520,10154.0452,11684.6906
scenario_label=prefix80,14767.7058,21805.3846,28631.8506,13672.0392,79518.6336,30759.5633,30839.1683,9180.0907,7318.6172,5490.7375,11692.4376
scenario_label=prefixed,16154.8049,21208.5140,26122.2990,13683.2384,78778.7019,26795.6552,28878.3743,13278.2933,5961.5895,9381.6213,11694.1951
scenario_label=random,16385.6129,15228.3893,22371.2822,13669.7734,79463.4702,20796.2305,25910.3965,18441.6627,4115.1892,11246.3218,11686.1516
