scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,ICT,LAPCT,NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
scenario_label=clustered,9286.2800,14890.1400,10470.1200,5964.2600,145761.2600,9999.0000,10075.4800,18656.5800,3037.3400,2779.2800,0.0000
scenario_label=prefix80,8572.5600,12565.6400,8326.7600,5937.9600,146308.4800,9999.0000,10041.3200,16444.4200,2774.6200,513.0000,0.0000
scenario_label=prefixed,9275.0400,14476.0200,8317.2800,5949.0200,144664.3200,9999.0000,10041.3200,18229.0000,2723.8000,1893.0200,0.0000
scenario_label=random,9287.5200,14424.9400,8307.3600,5934.4200,146180.6600,9999.0000,10041.4800,18218.8800,2724.0200,1894.4800,0.0000
