scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,ICT,LAPCT,NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
scenario_label=clustered,614.7609,477.5273,319.3802,172.0781,700.9232,866.3234,640.3632,439.9258,329.0989,154.7177,229.8614
scenario_label=prefix80,184.0562,532.4012,242.1086,172.0277,703.0582,442.9087,323.1228,107.9529,193.6070,71.3225,230.3698
scenario_label=prefixed,492.8384,418.0638,260.0073,172.2945,696.8904,814.7863,630.7899,178.7707,200.6560,126.5072,230.3086
scenario_label=random,944.3862,205.4913,286.9710,172.1057,702.5941,1372.5784,1092.4927,274.7410,212.5815,165.4297,230.0480
