scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,ICT,LAPCT,NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
scenario_label=clustered,524.3761,324.7718,141.7395,147.6756,345.2180,674.0699,427.8428,269.0358,280.0171,99.9836,229.4594
scenario_label=prefix80,84.8096,378.6275,29.2128,147.6784,346.0936,213.1426,91.6912,47.8330,139.9093,42.0000,229.9761
scenario_label=prefixed,414.5724,287.0749,73.8310,147.8054,343.4629,648.4427,430.9342,113.1238,162.6575,84.2725,229.9100
scenario_label=random,910.5997,147.3296,140.7547,147.7206,345.8891,1302.2256,940.4297,209.1213,196.8317,132.2802,229.6510
