scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,ICT,LAPCT,NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
scenario_label=clustered,90.3848,152.7555,177.6407,24.4025,355.7052,192.2536,212.5204,170.8900,49.0818,54.7340,0.4020
scenario_label=prefix80,99.2466,153.7738,212.8958,24.3493,356.9646,229.7661,231.4316,60.1199,53.6978,29.3225,0.3937
scenario_label=prefixed,78.2660,130.9889,186.1763,24.4892,353.4274,166.3436,199.8557,65.6470,37.9986,42.2348,0.3986
scenario_label=random,33.7865,58.1617,146.2163,24.3851,356.7050,70.3528,152.0630,65.6197,15.7498,33.1495,0.3970
