scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,ICT,LAPCT,NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
scenario_label=clustered,34876.5800,44673.4200,20471.1200,19965.3000,161684.1800,19999.0000,19928.7200,17439.6600,5352.1000,15555.9200,28555.0200
scenario_label=prefix80,31502.4200,37699.9200,18327.7600,19917.9600,162256.6400,19999.0000,19956.6800,16187.2600,4738.7400,11027.0000,28480.4600
scenario_label=prefixed,34859.7200,43431.0600,18318.2800,19908.4800,160648.8400,19999.0000,19956.6800,17230.1800,4716.5200,13784.6600,28530.8600
scenario_label=random,34891.5800,43277.8200,18308.3600,19904.4800,162138.6400,19999.0000,19956.5200,17225.7600,4715.5800,13787.5200,28487.9400
