scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,ICT,LAPCT,NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
scenario_label=clustered,0.3308,0.3358,0.4890,0.5010,0.0619,0.5000,0.4980,0.3490,0.4125,0.7825,0.0000
scenario_label=prefix80,0.3674,0.3979,0.5457,0.5021,0.0617,0.5000,0.4990,0.3782,0.4125,0.9512,0.0000
scenario_label=prefixed,0.3309,0.3454,0.5459,0.5024,0.0623,0.5000,0.4990,0.3542,0.4123,0.8408,0.0000
scenario_label=random,0.3306,0.3466,0.5462,0.5025,0.0617,0.5000,0.4990,0.3544,0.4120,0.8407,0.0000
