scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,ICT,LAPCT,NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
scenario_label=clustered,620.6791,432.0184,379.2512,730.1158,126.2187,351.9265,337.1888,397.7504,1469.4855,984.8886,855.8593
scenario_label=prefix80,677.1712,458.6091,349.2642,731.4728,125.7974,325.1021,324.2630,1089.3172,1366.7742,1821.2490,855.3029
scenario_label=prefixed,619.0243,471.5251,382.8181,730.8584,126.9840,373.1948,346.2799,753.1145,1677.8189,1065.9774,855.1683
scenario_label=random,610.3010,656.6832,447.0036,731.5788,125.8836,480.8564,385.9455,542.2562,2430.9010,889.1922,855.7705
