scenario_point,algorithm_name,metric,mean,ci95,p95,n,mean_ci95
scenario_label=dispersed,HT_EEAC,avg_total_bits,702.700440,3.490925,720.223230,50,702.7004 +/- 3.4909
scenario_label=dispersed,LAPCT,avg_total_bits,491.236312,8.449636,540.803260,50,491.2363 +/- 8.4496
scenario_label=dispersed,NLHQT(n=2),avg_total_bits,138.348482,0.586382,140.035630,50,138.3485 +/- 0.5864
scenario_label=dispersed,SGCT,avg_total_bits,117.548280,2.232831,129.014300,50,117.5483 +/- 2.2328
scenario_label=dispersed,DQTA(k_max=3),system_efficiency,0.369449,0.009378,0.426059,50,0.3694 +/- 0.0094
scenario_label=dispersed,DRCT,system_efficiency,0.147460,0.012038,0.244438,50,0.1475 +/- 0.0120
scenario_label=dispersed,EAQ_CBB,system_efficiency,0.442834,0.011497,0.529811,50,0.4428 +/- 0.0115
scenario_label=dispersed,EMDT,system_efficiency,0.500431,0.001490,0.509090,50,0.5004 +/- 0.0015
scenario_label=dispersed,HT_EEAC,system_efficiency,0.061694,0.000350,0.063625,50,0.0617 +/- 0.0003
scenario_label=dispersed,LAPCT,system_efficiency,0.498972,0.000004,0.498977,50,0.4990 +/- 0.0000
scenario_label=dispersed,NLHQT(n=2),system_efficiency,0.378257,0.000161,0.379174,50,0.3783 +/- 0.0002
scenario_label=dispersed,SGCT,system_efficiency,0.931232,0.002056,0.951113,50,0.9312 +/- 0.0021
scenario_label=dispersed,DQTA(k_max=3),throughput_tags_per_sec,440.657594,21.785720,592.740184,50,440.6576 +/- 21.7857
scenario_label=dispersed,DRCT,throughput_tags_per_sec,181.937418,14.105210,294.784542,50,181.9374 +/- 14.1052
scenario_label=dispersed,EAQ_CBB,throughput_tags_per_sec,312.141377,7.484981,365.732379,50,312.1414 +/- 7.4850
scenario_label=dispersed,EMDT,throughput_tags_per_sec,729.353567,1.487431,738.272062,50,729.3536 +/- 1.4874
scenario_label=dispersed,HT_EEAC,throughput_tags_per_sec,125.871685,0.666649,129.523458,50,125.8717 +/- 0.6666
scenario_label=dispersed,LAPCT,throughput_tags_per_sec,329.387770,0.611746,333.348986,50,329.3878 +/- 0.6117
scenario_label=dispersed,NLHQT(n=2),throughput_tags_per_sec,1089.683514,0.507897,1092.305450,50,1089.6835 +/- 0.5079
scenario_label=dispersed,SGCT,throughput_tags_per_sec,1492.423139,22.443889,1679.864099,50,1492.4231 +/- 22.4439
scenario_label=dispersed,DQTA(k_max=3),total_bits,7019248.540000,290148.244754,8399511.700000,50,7019248.5400 +/- 290148.2448
scenario_label=dispersed,DRCT,total_bits,7781962.280000,293487.240723,9617577.000000,50,7781962.2800 +/- 293487.2407
scenario_label=dispersed,EAQ_CBB,total_bits,3201781.480000,82076.352301,3544534.050000,50,3201781.4800 +/- 82076.3523
scenario_label=dispersed,EMDT,total_bits,1720763.920000,1789.799781,1731991.400000,50,1720763.9200 +/- 1789.7998
scenario_label=dispersed,HT_EEAC,total_bits,7027004.400000,34909.247543,7202232.300000,50,7027004.4000 +/- 34909.2475
scenario_label=dispersed,LAPCT,total_bits,4912363.120000,84496.360537,5408032.600000,50,4912363.1200 +/- 84496.3605
scenario_label=dispersed,NLHQT(n=2),total_bits,1383484.820000,5863.823275,1400356.300000,50,1383484.8200 +/- 5863.8233
scenario_label=dispersed,SGCT,total_bits,1175482.800000,22328.311121,1290143.000000,50,1175482.8000 +/- 22328.3111
scenario_label=dispersed,DQTA(k_max=3),total_energy_uj,11697619.542220,537671.872488,14960006.698119,50,11697619.5422 +/- 537671.8725
scenario_label=dispersed,DRCT,total_energy_uj,29419506.165927,2011755.707780,41477998.243962,50,29419506.1659 +/- 2011755.7078
scenario_label=dispersed,EAQ_CBB,total_energy_uj,16142311.678825,370380.291732,17732797.601481,50,16142311.6788 +/- 370380.2917
scenario_label=dispersed,EMDT,total_energy_uj,6858576.486205,14489.007004,6941170.712562,50,6858576.4862 +/- 14489.0070
