Algorithm,time_ms_mean,time_ms_sd,throughput_mean,bits_per_tag_mean,gamma_B_aggregate,gamma_B_run_mean,efficiency_mean,Rank,n
SGCT,8039.667216,2170.973651,1353.771705,114.027629,11.872313,14.484550,0.874778,1,400
SGCT(d8),8050.103288,2166.498752,1351.672093,114.233666,11.832520,14.446733,0.874552,2,400
SGCT(no_suffix_extension),8050.103288,2166.498752,1351.672093,114.233666,11.832520,14.446733,0.874552,2,400
SGCT(no_low_d_fallback),8091.731906,2169.598962,1345.518568,114.542804,11.746863,14.353635,0.874552,4,400
SGCT(no_local_short_id),8189.775569,2292.537486,1336.646188,159.132325,8.399589,11.930278,0.874552,5,400
SGCT(d10),12438.866572,4023.551623,912.067525,119.386533,7.639618,8.783846,0.837221,6,400
SGCT(no_signature_grouping),13860.573038,4044.423219,859.350252,134.893114,6.370601,8.700983,0.245712,7,400
SGCT(d6),14773.463131,2251.631608,695.612490,172.449097,4.033726,4.338979,0.625187,8,400
SGCT(d4),14859.421409,1982.050152,686.927203,197.601724,3.476322,3.701203,0.601577,9,400
