scenario_point,algorithm_name,metric,mean,ci95,p95,n,mean_ci95
scenario_label=clustered,SGCT(no_local_short_id),total_protocol_time_ms,10351.189800,25.510789,10489.935187,50,10351.1898 +/- 25.5108
scenario_label=clustered,SGCT(no_low_d_fallback),total_protocol_time_ms,10172.666350,24.643584,10306.378062,50,10172.6663 +/- 24.6436
scenario_label=clustered,SGCT(no_signature_grouping),total_protocol_time_ms,14877.624800,37.042380,15078.945187,50,14877.6248 +/- 37.0424
scenario_label=clustered,SGCT(no_suffix_extension),total_protocol_time_ms,10170.831800,24.588352,10304.388937,50,10170.8318 +/- 24.5884
scenario_label=dispersed,SGCT,avg_total_bits,115.577566,2.202048,125.168200,50,115.5776 +/- 2.2020
scenario_label=dispersed,SGCT(d10),avg_total_bits,136.619720,3.085205,152.317470,50,136.6197 +/- 3.0852
scenario_label=dispersed,SGCT(d4),avg_total_bits,186.647986,3.329295,210.219375,50,186.6480 +/- 3.3293
scenario_label=dispersed,SGCT(d6),avg_total_bits,169.718424,3.840639,195.697705,50,169.7184 +/- 3.8406
scenario_label=dispersed,SGCT(d8),avg_total_bits,116.773514,2.395227,129.014465,50,116.7735 +/- 2.3952
scenario_label=dispersed,SGCT(no_local_short_id),avg_total_bits,154.993514,2.595779,168.564435,50,154.9935 +/- 2.5958
scenario_label=dispersed,SGCT(no_low_d_fallback),avg_total_bits,116.773514,2.395227,129.014465,50,116.7735 +/- 2.3952
scenario_label=dispersed,SGCT(no_signature_grouping),avg_total_bits,138.985770,2.395199,151.226005,50,138.9858 +/- 2.3952
scenario_label=dispersed,SGCT(no_suffix_extension),avg_total_bits,116.773514,2.395227,129.014465,50,116.7735 +/- 2.3952
scenario_label=dispersed,SGCT,system_efficiency,0.932606,0.002724,0.951113,50,0.9326 +/- 0.0027
scenario_label=dispersed,SGCT(d10),system_efficiency,0.793618,0.008995,0.829876,50,0.7936 +/- 0.0090
scenario_label=dispersed,SGCT(d4),system_efficiency,0.597135,0.005816,0.608145,50,0.5971 +/- 0.0058
scenario_label=dispersed,SGCT(d6),system_efficiency,0.606486,0.008749,0.623751,50,0.6065 +/- 0.0087
scenario_label=dispersed,SGCT(d8),system_efficiency,0.931705,0.002516,0.951113,50,0.9317 +/- 0.0025
scenario_label=dispersed,SGCT(no_local_short_id),system_efficiency,0.931705,0.002516,0.951113,50,0.9317 +/- 0.0025
scenario_label=dispersed,SGCT(no_low_d_fallback),system_efficiency,0.931705,0.002516,0.951113,50,0.9317 +/- 0.0025
scenario_label=dispersed,SGCT(no_signature_grouping),system_efficiency,0.150910,0.000066,0.151410,50,0.1509 +/- 0.0001
scenario_label=dispersed,SGCT(no_suffix_extension),system_efficiency,0.931705,0.002516,0.951113,50,0.9317 +/- 0.0025
scenario_label=dispersed,SGCT,throughput_tags_per_sec,1512.493688,25.505343,1688.874133,50,1512.4937 +/- 25.5053
scenario_label=dispersed,SGCT(d10),throughput_tags_per_sec,1051.409608,29.372139,1187.189850,50,1051.4096 +/- 29.3721
scenario_label=dispersed,SGCT(d4),throughput_tags_per_sec,724.713213,13.040759,751.199361,50,724.7132 +/- 13.0408
scenario_label=dispersed,SGCT(d6),throughput_tags_per_sec,747.979363,19.583534,787.088000,50,747.9794 +/- 19.5835
scenario_label=dispersed,SGCT(d8),throughput_tags_per_sec,1499.624860,25.539118,1681.862864,50,1499.6249 +/- 25.5391
scenario_label=dispersed,SGCT(no_local_short_id),throughput_tags_per_sec,1485.959919,25.098866,1664.198504,50,1485.9599 +/- 25.0989
scenario_label=dispersed,SGCT(no_low_d_fallback),throughput_tags_per_sec,1499.624860,25.539118,1681.862864,50,1499.6249 +/- 25.5391
scenario_label=dispersed,SGCT(no_signature_grouping),throughput_tags_per_sec,773.561204,6.672103,820.114914,50,773.5612 +/- 6.6721
scenario_label=dispersed,SGCT(no_suffix_extension),throughput_tags_per_sec,1499.624860,25.539118,1681.862864,50,1499.6249 +/- 25.5391
scenario_label=dispersed,SGCT,total_bits,1155775.660000,22020.477478,1251682.000000,50,1155775.6600 +/- 22020.4775
scenario_label=dispersed,SGCT(d10),total_bits,1366197.200000,30852.053058,1523174.700000,50,1366197.2000 +/- 30852.0531
scenario_label=dispersed,SGCT(d4),total_bits,1866479.860000,33292.949394,2102193.750000,50,1866479.8600 +/- 33292.9494
scenario_label=dispersed,SGCT(d6),total_bits,1697184.240000,38406.394007,1956977.050000,50,1697184.2400 +/- 38406.3940
scenario_label=dispersed,SGCT(d8),total_bits,1167735.140000,23952.269626,1290144.650000,50,1167735.1400 +/- 23952.2696
scenario_label=dispersed,SGCT(no_local_short_id),total_bits,1549935.140000,25957.792512,1685644.350000,50,1549935.1400 +/- 25957.7925
scenario_label=dispersed,SGCT(no_low_d_fallback),total_bits,1167735.140000,23952.269626,1290144.650000,50,1167735.1400 +/- 23952.2696
scenario_label=dispersed,SGCT(no_signature_grouping),total_bits,1389857.700000,23951.991511,1512260.050000,50,1389857.7000 +/- 23951.9915
scenario_label=dispersed,SGCT(no_suffix_extension),total_bits,1167735.140000,23952.269626,1290144.650000,50,1167735.1400 +/- 23952.2696
scenario_label=dispersed,SGCT,total_energy_uj,3348101.450565,55301.231065,3644501.190900,50,3348101.4506 +/- 55301.2311
scenario_label=dispersed,SGCT(d10),total_energy_uj,4909852.463167,131221.492862,5398850.663700,50,4909852.4632 +/- 131221.4929
scenario_label=dispersed,SGCT(d4),total_energy_uj,6941696.220057,142027.545983,8044912.367681,50,6941696.2201 +/- 142027.5460
scenario_label=dispersed,SGCT(d6),total_energy_uj,6766813.942788,210121.115213,8557316.678325,50,6766813.9428 +/- 210121.1152
scenario_label=dispersed,SGCT(d8),total_energy_uj,3375694.436842,55241.676469,3616716.981369,50,3375694.4368 +/- 55241.6765
scenario_label=dispersed,SGCT(no_local_short_id),total_energy_uj,3437037.536842,55354.768808,3674336.481369,50,3437037.5368 +/- 55354.7688
scenario_label=dispersed,SGCT(no_low_d_fallback),total_energy_uj,3375694.436842,55241.676469,3616716.981369,50,3375694.4368 +/- 55241.6765
scenario_label=dispersed,SGCT(no_signature_grouping),total_energy_uj,6497865.059563,57328.129512,6756171.127569,50,6497865.0596 +/- 57328.1295
scenario_label=dispersed,SGCT(no_suffix_extension),total_energy_uj,3375694.436842,55241.676469,3616716.981369,50,3375694.4368 +/- 55241.6765
scenario_label=dispersed,SGCT,total_protocol_time_ms,6635.127750,109.844554,7222.271250,50,6635.1277 +/- 109.8446
scenario_label=dispersed,SGCT(d10),total_protocol_time_ms,9604.396300,262.052306,10563.264188,50,9604.3963 +/- 262.0523
scenario_label=dispersed,SGCT(d4),total_protocol_time_ms,13863.716850,284.174443,16056.014000,50,13863.7169 +/- 284.1744
scenario_label=dispersed,SGCT(d6),total_protocol_time_ms,13509.676275,420.361326,17063.675375,50,13509.6763 +/- 420.3613
scenario_label=dispersed,SGCT(d8),total_protocol_time_ms,6692.090750,109.741126,7167.860000,50,6692.0908 +/- 109.7411
scenario_label=dispersed,SGCT(no_local_short_id),total_protocol_time_ms,6753.242750,109.847667,7225.615000,50,6753.2428 +/- 109.8477
scenario_label=dispersed,SGCT(no_low_d_fallback),total_protocol_time_ms,6692.090750,109.741126,7167.860000,50,6692.0908 +/- 109.7411
scenario_label=dispersed,SGCT(no_signature_grouping),total_protocol_time_ms,12939.287750,109.747255,13415.441250,50,12939.2877 +/- 109.7473
scenario_label=dispersed,SGCT(no_suffix_extension),total_protocol_time_ms,6692.090750,109.741126,7167.860000,50,6692.0908 +/- 109.7411
scenario_label=prefix64,SGCT,avg_total_bits,113.423710,0.170708,114.481485,50,113.4237 +/- 0.1707
scenario_label=prefix64,SGCT(d10),avg_total_bits,117.030410,0.060136,117.411020,50,117.0304 +/- 0.0601
scenario_label=prefix64,SGCT(d4),avg_total_bits,215.836630,0.194915,217.079225,50,215.8366 +/- 0.1949
scenario_label=prefix64,SGCT(d6),avg_total_bits,182.511118,0.182929,183.472725,50,182.5111 +/- 0.1829
scenario_label=prefix64,SGCT(d8),avg_total_bits,113.402346,0.184593,114.728305,50,113.4023 +/- 0.1846
scenario_label=prefix64,SGCT(no_local_short_id),avg_total_bits,139.674630,0.207121,141.161565,50,139.6746 +/- 0.2071
scenario_label=prefix64,SGCT(no_low_d_fallback),avg_total_bits,113.473940,0.187028,114.800025,50,113.4739 +/- 0.1870
scenario_label=prefix64,SGCT(no_signature_grouping),avg_total_bits,139.730402,0.224143,141.341825,50,139.7304 +/- 0.2241
scenario_label=prefix64,SGCT(no_suffix_extension),avg_total_bits,113.402346,0.184593,114.728305,50,113.4023 +/- 0.1846
scenario_label=prefix64,SGCT,system_efficiency,0.840339,0.000878,0.844316,50,0.8403 +/- 0.0009
scenario_label=prefix64,SGCT(d10),system_efficiency,0.823650,0.000298,0.825151,50,0.8236 +/- 0.0003
scenario_label=prefix64,SGCT(d4),system_efficiency,0.586442,0.000505,0.589123,50,0.5864 +/- 0.0005
scenario_label=prefix64,SGCT(d6),system_efficiency,0.621720,0.000527,0.624832,50,0.6217 +/- 0.0005
scenario_label=prefix64,SGCT(d8),system_efficiency,0.840443,0.000962,0.845044,50,0.8404 +/- 0.0010
scenario_label=prefix64,SGCT(no_local_short_id),system_efficiency,0.840443,0.000962,0.845044,50,0.8404 +/- 0.0010
scenario_label=prefix64,SGCT(no_low_d_fallback),system_efficiency,0.840443,0.000962,0.845044,50,0.8404 +/- 0.0010
scenario_label=prefix64,SGCT(no_signature_grouping),system_efficiency,0.128672,0.000186,0.129524,50,0.1287 +/- 0.0002
scenario_label=prefix64,SGCT(no_suffix_extension),system_efficiency,0.840443,0.000962,0.845044,50,0.8404 +/- 0.0010
scenario_label=prefix64,SGCT,throughput_tags_per_sec,1141.934465,2.760545,1155.065858,50,1141.9345 +/- 2.7605
scenario_label=prefix64,SGCT(d10),throughput_tags_per_sec,642.493438,0.348896,644.195719,50,642.4934 +/- 0.3489
scenario_label=prefix64,SGCT(d4),throughput_tags_per_sec,592.791453,0.885380,597.654055,50,592.7915 +/- 0.8854
scenario_label=prefix64,SGCT(d6),throughput_tags_per_sec,602.044594,0.944222,607.518464,50,602.0446 +/- 0.9442
scenario_label=prefix64,SGCT(d8),throughput_tags_per_sec,1142.319107,2.972872,1156.323913,50,1142.3191 +/- 2.9729
scenario_label=prefix64,SGCT(no_local_short_id),throughput_tags_per_sec,1128.452616,2.986457,1142.537485,50,1128.4526 +/- 2.9865
scenario_label=prefix64,SGCT(no_low_d_fallback),throughput_tags_per_sec,1141.056127,3.010487,1155.531563,50,1141.0561 +/- 3.0105
scenario_label=prefix64,SGCT(no_signature_grouping),throughput_tags_per_sec,618.860222,1.297238,624.899049,50,618.8602 +/- 1.2972
scenario_label=prefix64,SGCT(no_suffix_extension),throughput_tags_per_sec,1142.319107,2.972872,1156.323913,50,1142.3191 +/- 2.9729
scenario_label=prefix64,SGCT,total_bits,1134237.100000,1707.075918,1144814.850000,50,1134237.1000 +/- 1707.0759
scenario_label=prefix64,SGCT(d10),total_bits,1170304.100000,601.360751,1174110.200000,50,1170304.1000 +/- 601.3608
scenario_label=prefix64,SGCT(d4),total_bits,2158366.300000,1949.146454,2170792.250000,50,2158366.3000 +/- 1949.1465
scenario_label=prefix64,SGCT(d6),total_bits,1825111.180000,1829.286591,1834727.250000,50,1825111.1800 +/- 1829.2866
scenario_label=prefix64,SGCT(d8),total_bits,1134023.460000,1845.933015,1147283.050000,50,1134023.4600 +/- 1845.9330
scenario_label=prefix64,SGCT(no_local_short_id),total_bits,1396746.300000,2071.214215,1411615.650000,50,1396746.3000 +/- 2071.2142
scenario_label=prefix64,SGCT(no_low_d_fallback),total_bits,1134739.400000,1870.279481,1148000.250000,50,1134739.4000 +/- 1870.2795
scenario_label=prefix64,SGCT(no_signature_grouping),total_bits,1397304.020000,2241.425298,1413418.250000,50,1397304.0200 +/- 2241.4253
scenario_label=prefix64,SGCT(no_suffix_extension),total_bits,1134023.460000,1845.933015,1147283.050000,50,1134023.4600 +/- 1845.9330
scenario_label=prefix64,SGCT,total_energy_uj,4404073.877035,13900.554584,4486793.404262,50,4404073.8770 +/- 13900.5546
scenario_label=prefix64,SGCT(d10),total_energy_uj,7890385.164373,8392.733279,7937314.330619,50,7890385.1644 +/- 8392.7333
scenario_label=prefix64,SGCT(d4),total_energy_uj,8449095.591385,13822.980306,8537407.062613,50,8449095.5914 +/- 13822.9803
scenario_label=prefix64,SGCT(d6),total_energy_uj,8317137.490040,15445.738342,8398675.596231,50,8317137.4900 +/- 15445.7383
scenario_label=prefix64,SGCT(d8),total_energy_uj,4404054.265950,12663.946236,4476902.588850,50,4404054.2659 +/- 12663.9462
scenario_label=prefix64,SGCT(no_local_short_id),total_energy_uj,4477247.353095,13049.554559,4552410.053300,50,4477247.3531 +/- 13049.5546
scenario_label=prefix64,SGCT(no_low_d_fallback),total_energy_uj,4408905.538385,12753.887918,4482237.222637,50,4408905.5384 +/- 12753.8879
scenario_label=prefix64,SGCT(no_signature_grouping),total_energy_uj,8105705.721445,17521.066837,8188511.481012,50,8105705.7214 +/- 17521.0668
