scenario_point,algorithm_name,metric,mean,ci95,p95,n,mean_ci95
scenario_label=prefixed,SGCT,signature_collision_groups,942.400000,7.113543,974.000000,50,942.4000 +/- 7.1135
scenario_label=prefixed,SGCT,signature_grouping_trigger_count,943.400000,7.113543,975.000000,50,943.4000 +/- 7.1135
scenario_label=prefixed,SGCT,signature_groups_pruned,65832.000000,106.703147,66306.000000,50,65832.0000 +/- 106.7031
scenario_label=prefixed,SGCT,signature_singleton_groups,10000.000000,0.000000,10000.000000,50,10000.0000 +/- 0.0000
scenario_label=prefixed,SGCT,sparse_signature_groups,10942.400000,7.113543,10974.000000,50,10942.4000 +/- 7.1135
scenario_label=prefixed,SGCT,suffix_signature_trigger_count,0.000000,0.000000,0.000000,50,0.0000 +/- 0.0000
scenario_label=random,SGCT,local_short_id_trigger_count,257.000000,0.000000,257.000000,50,257.0000 +/- 0.0000
scenario_label=random,SGCT,low_d_fallback_count,0.000000,0.000000,0.000000,50,0.0000 +/- 0.0000
scenario_label=random,SGCT,max_signature_d,8.000000,0.000000,8.000000,50,8.0000 +/- 0.0000
scenario_label=random,SGCT,progressive_probe_count,957.260000,6.705941,990.550000,50,957.2600 +/- 6.7059
scenario_label=random,SGCT,signature_collision_groups,953.780000,6.706053,986.650000,50,953.7800 +/- 6.7061
scenario_label=random,SGCT,signature_grouping_trigger_count,954.780000,6.706053,987.650000,50,954.7800 +/- 6.7061
scenario_label=random,SGCT,signature_groups_pruned,66002.700000,100.590798,66495.750000,50,66002.7000 +/- 100.5908
scenario_label=random,SGCT,signature_singleton_groups,10000.000000,0.000000,10000.000000,50,10000.0000 +/- 0.0000
scenario_label=random,SGCT,sparse_signature_groups,10953.780000,6.706053,10986.650000,50,10953.7800 +/- 6.7061
scenario_label=random,SGCT,suffix_signature_trigger_count,0.000000,0.000000,0.000000,50,0.0000 +/- 0.0000
scenario_label=sequential,SGCT,local_short_id_trigger_count,1.000000,0.000000,1.000000,50,1.0000 +/- 0.0000
scenario_label=sequential,SGCT,low_d_fallback_count,0.000000,0.000000,0.000000,50,0.0000 +/- 0.0000
scenario_label=sequential,SGCT,max_signature_d,8.000000,0.000000,8.000000,50,8.0000 +/- 0.0000
scenario_label=sequential,SGCT,progressive_probe_count,158.000000,0.000000,158.000000,50,158.0000 +/- 0.0000
scenario_label=sequential,SGCT,signature_collision_groups,157.000000,0.000000,157.000000,50,157.0000 +/- 0.0000
scenario_label=sequential,SGCT,signature_grouping_trigger_count,158.000000,0.000000,158.000000,50,158.0000 +/- 0.0000
scenario_label=sequential,SGCT,signature_groups_pruned,99.000000,0.000000,99.000000,50,99.0000 +/- 0.0000
scenario_label=sequential,SGCT,signature_singleton_groups,10000.000000,0.000000,10000.000000,50,10000.0000 +/- 0.0000
scenario_label=sequential,SGCT,sparse_signature_groups,10157.000000,0.000000,10157.000000,50,10157.0000 +/- 0.0000
scenario_label=sequential,SGCT,suffix_signature_trigger_count,0.000000,0.000000,0.000000,50,0.0000 +/- 0.0000
