scenario_point,algorithm_name,metric,mean,ci95,p95,n,mean_ci95
"scenario_label=clustered,ber=0.0001",SGCT,avg_total_bits,154.856532,0.572244,160.660500,50,154.8565 +/- 0.5722
"scenario_label=clustered,ber=0.0001",DQTA(k_max=3),system_efficiency,0.330025,0.000488,0.332770,50,0.3300 +/- 0.0005
"scenario_label=clustered,ber=0.0001",DRCT,system_efficiency,0.335581,0.000609,0.338640,50,0.3356 +/- 0.0006
"scenario_label=clustered,ber=0.0001",EMDT,system_efficiency,0.500184,0.001565,0.509583,50,0.5002 +/- 0.0016
"scenario_label=clustered,ber=0.0001",LAPCT,system_efficiency,0.497975,0.000069,0.498380,50,0.4980 +/- 0.0001
"scenario_label=clustered,ber=0.0001",NLHQT(n=2),system_efficiency,0.348361,0.000313,0.349805,50,0.3484 +/- 0.0003
"scenario_label=clustered,ber=0.0001",SGCT,system_efficiency,0.780511,0.000825,0.785003,50,0.7805 +/- 0.0008
"scenario_label=clustered,ber=0.0001",DQTA(k_max=3),throughput_tags_per_sec,619.285050,0.891200,624.192453,50,619.2850 +/- 0.8912
"scenario_label=clustered,ber=0.0001",DRCT,throughput_tags_per_sec,431.812150,0.747767,435.728271,50,431.8121 +/- 0.7478
"scenario_label=clustered,ber=0.0001",EMDT,throughput_tags_per_sec,727.093842,1.503849,737.456696,50,727.0938 +/- 1.5038
"scenario_label=clustered,ber=0.0001",LAPCT,throughput_tags_per_sec,337.186880,0.035542,337.337398,50,337.1869 +/- 0.0355
"scenario_label=clustered,ber=0.0001",NLHQT(n=2),throughput_tags_per_sec,397.567495,0.802222,402.337569,50,397.5675 +/- 0.8022
"scenario_label=clustered,ber=0.0001",SGCT,throughput_tags_per_sec,981.877149,2.160947,993.521017,50,981.8771 +/- 2.1609
"scenario_label=clustered,ber=0.0001",DQTA(k_max=3),total_bits,6150776.900000,114823.015187,6758967.550000,50,6150776.9000 +/- 114823.0152
"scenario_label=clustered,ber=0.0001",DRCT,total_bits,4776033.380000,3053.893434,4794371.450000,50,4776033.3800 +/- 3053.8934
"scenario_label=clustered,ber=0.0001",EMDT,total_bits,1730085.200000,1718.982655,1740496.000000,50,1730085.2000 +/- 1718.9827
"scenario_label=clustered,ber=0.0001",LAPCT,total_bits,6418676.460000,57216.539646,6777912.900000,50,6418676.4600 +/- 57216.5396
"scenario_label=clustered,ber=0.0001",NLHQT(n=2),total_bits,4397888.440000,8207.866563,4426994.200000,50,4397888.4400 +/- 8207.8666
"scenario_label=clustered,ber=0.0001",SGCT,total_bits,1548565.320000,5722.440145,1606605.000000,50,1548565.3200 +/- 5722.4401
"scenario_label=clustered,ber=0.0001",DQTA(k_max=3),total_energy_uj,8095452.597512,12826.803009,8166207.521262,50,8095452.5975 +/- 12826.8030
"scenario_label=clustered,ber=0.0001",DRCT,total_energy_uj,11623607.772992,24664.888989,11755304.683344,50,11623607.7730 +/- 24664.8890
"scenario_label=clustered,ber=0.0001",EMDT,total_energy_uj,6878373.528635,19116.528867,6969505.417225,50,6878373.5286 +/- 19116.5289
"scenario_label=clustered,ber=0.0001",LAPCT,total_energy_uj,14843604.158670,1885.304725,14853893.505250,50,14843604.1587 +/- 1885.3047
"scenario_label=clustered,ber=0.0001",NLHQT(n=2),total_energy_uj,12601986.339218,24952.980911,12709136.170112,50,12601986.3392 +/- 24952.9809
"scenario_label=clustered,ber=0.0001",SGCT,total_energy_uj,5093296.454290,13372.862974,5163573.939450,50,5093296.4543 +/- 13372.8630
"scenario_label=clustered,ber=0.0001",DQTA(k_max=3),total_protocol_time_ms,16148.079825,23.262308,16284.966813,50,16148.0798 +/- 23.2623
"scenario_label=clustered,ber=0.0001",DRCT,total_protocol_time_ms,23159.107175,40.248112,23398.921500,50,23159.1072 +/- 40.2481
"scenario_label=clustered,ber=0.0001",EMDT,total_protocol_time_ms,13754.129250,28.292518,13890.177500,50,13754.1292 +/- 28.2925
"scenario_label=clustered,ber=0.0001",LAPCT,total_protocol_time_ms,29657.148625,3.126930,29676.707813,50,29657.1486 +/- 3.1269
"scenario_label=clustered,ber=0.0001",NLHQT(n=2),total_protocol_time_ms,25154.258325,50.380678,25363.783500,50,25154.2583 +/- 50.3807
"scenario_label=clustered,ber=0.0001",SGCT,total_protocol_time_ms,10185.202375,22.403813,10279.916000,50,10185.2024 +/- 22.4038
"scenario_label=clustered,ber=0.001",DQTA(k_max=3),avg_total_bits,618.514824,14.380582,696.785755,50,618.5148 +/- 14.3806
"scenario_label=clustered,ber=0.001",DRCT,avg_total_bits,477.577078,0.292323,479.278720,50,477.5771 +/- 0.2923
"scenario_label=clustered,ber=0.001",EMDT,avg_total_bits,179.855204,0.142991,180.823320,50,179.8552 +/- 0.1430
"scenario_label=clustered,ber=0.001",LAPCT,avg_total_bits,645.439236,6.512524,681.261160,50,645.4392 +/- 6.5125
"scenario_label=clustered,ber=0.001",NLHQT(n=2),avg_total_bits,441.665928,0.755463,444.366040,50,441.6659 +/- 0.7555
"scenario_label=clustered,ber=0.001",SGCT,avg_total_bits,156.867818,0.723674,162.417710,50,156.8678 +/- 0.7237
"scenario_label=clustered,ber=0.001",DQTA(k_max=3),system_efficiency,0.328401,0.000386,0.330345,50,0.3284 +/- 0.0004
"scenario_label=clustered,ber=0.001",DRCT,system_efficiency,0.335622,0.000580,0.339028,50,0.3356 +/- 0.0006
"scenario_label=clustered,ber=0.001",EMDT,system_efficiency,0.485043,0.001513,0.495600,50,0.4850 +/- 0.0015
"scenario_label=clustered,ber=0.001",LAPCT,system_efficiency,0.498025,0.000066,0.498380,50,0.4980 +/- 0.0001
"scenario_label=clustered,ber=0.001",NLHQT(n=2),system_efficiency,0.344522,0.000270,0.346027,50,0.3445 +/- 0.0003
"scenario_label=clustered,ber=0.001",SGCT,system_efficiency,0.766656,0.000807,0.771340,50,0.7667 +/- 0.0008
