scenario_point,DQTA(k_max=3),DRCT,EMDT,HLCT-Base,LAPCT,NLHQT(n=2),SGCT,SGCT(d10),SGCT(d4),SGCT(d6),SGCT(d8),SGCT(no_local_short_id),SGCT(no_low_d_fallback),SGCT(no_signature_grouping),SGCT(no_suffix_extension)
scenario_label=clustered,10990.6800,4910.3600,3984.8800,14068.9200,5.7200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,41838.1600,0.0000
scenario_label=dispersed,2009.5000,28098.7200,3983.2600,4785.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55530.6400,0.0000
scenario_label=prefix64,10962.5600,4490.2400,4022.6800,16548.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65820.1400,0.0000
scenario_label=prefix72,10986.9600,4481.1400,3990.3000,16546.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62543.1600,0.0000
scenario_label=prefix80,8618.0600,2569.2000,3955.1600,11852.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55530.4800,0.0000
scenario_label=prefixed,10943.6200,4481.0000,3975.6400,16553.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65890.9600,0.0000
scenario_label=random,10975.0600,4443.9400,3959.0400,16779.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65936.4200,0.0000
scenario_label=sequential,3.0000,88.0000,3947.1400,7.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,99.0000,0.0000
