scenario_point,SGCT,SGCT(d10),SGCT(d4),SGCT(d6),SGCT(d8),SGCT(no_local_short_id),SGCT(no_low_d_fallback),SGCT(no_signature_grouping),SGCT(no_suffix_extension)
scenario_label=clustered,11387.5800,10611.5200,13163.8800,12976.3600,11389.5000,11389.5000,11392.3800,11389.5000,11389.5000
scenario_label=dispersed,10256.0000,11017.2000,8551.8400,8343.8400,10256.0000,10256.0000,10256.0000,10256.0000,10256.0000
scenario_label=prefix64,10935.1200,11061.9600,13509.8200,13002.6800,10933.9200,10933.9200,10948.8400,10933.9200,10933.9200
scenario_label=prefix72,10465.2400,10986.3800,13068.6800,12745.8600,10468.2800,10468.2800,10945.6400,10468.2800,10468.2800
scenario_label=prefix80,10256.0000,11016.7400,8564.1200,8356.1200,10256.0000,10256.0000,10256.0000,10256.0000,10256.0000
scenario_label=prefixed,10942.4000,11069.5600,13533.5800,13023.9600,10946.6000,10946.6000,10946.6000,10946.6000,10946.6000
scenario_label=random,10953.7800,11069.6600,13525.4000,13018.4000,10949.6200,10949.6200,10949.6200,10949.6200,10949.6200
scenario_label=sequential,10157.0000,10625.0000,2679.0000,2552.0000,10157.0000,10157.0000,10157.0000,10157.0000,10157.0000
