scenario_point,SGCT,SGCT(d10),SGCT(d4),SGCT(d6),SGCT(d8),SGCT(no_local_short_id),SGCT(no_low_d_fallback),SGCT(no_signature_grouping),SGCT(no_suffix_extension)
scenario_label=clustered,129.0000,513.0000,0.0000,0.0000,129.0000,0.0000,129.0000,129.0000,129.0000
scenario_label=dispersed,257.0000,1.0000,0.0000,0.0000,257.0000,0.0000,257.0000,257.0000,257.0000
scenario_label=prefix64,257.0000,1024.3600,0.0000,0.0000,257.0000,0.0000,257.0000,257.0000,257.0000
scenario_label=prefix72,257.0000,1022.5600,0.0000,0.0000,257.0000,0.0000,257.0000,257.0000,257.0000
scenario_label=prefix80,257.0000,1.0000,0.0000,0.0000,257.0000,0.0000,257.0000,257.0000,257.0000
scenario_label=prefixed,257.0000,1024.2600,0.0000,0.0000,257.0000,0.0000,257.0000,257.0000,257.0000
scenario_label=random,257.0000,1024.3600,0.0000,0.0000,257.0000,0.0000,257.0000,257.0000,257.0000
scenario_label=sequential,1.0000,1.0000,0.0000,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000
