scenario_point,SGCT,SGCT(d10),SGCT(d4),SGCT(d6),SGCT(d8),SGCT(no_local_short_id),SGCT(no_low_d_fallback),SGCT(no_signature_grouping),SGCT(no_suffix_extension)
scenario_label=clustered,41815.9400,520822.7200,37495.0000,175835.8000,41841.5400,41841.5400,41849.1800,0.0000,41841.5400
scenario_label=dispersed,55536.0000,53842.9600,13919.8400,13919.8400,55536.0000,55536.0000,55536.0000,0.0000,55536.0000
scenario_label=prefix64,65838.3200,1039641.4000,42774.3400,174850.1200,65824.1600,65824.1600,65862.5200,0.0000,65824.1600
scenario_label=prefix72,62471.7200,1034259.3800,39760.1200,157441.6600,62545.8000,62545.8000,63555.0400,0.0000,62545.8000
scenario_label=prefix80,55536.0000,53814.6200,13955.2400,13955.2400,55536.0000,55536.0000,55536.0000,0.0000,55536.0000
scenario_label=prefixed,65832.0000,1040733.0000,43019.7000,176441.0000,65895.0000,65895.0000,65895.0000,0.0000,65895.0000
scenario_label=random,66002.7000,1040838.1800,42897.0000,176046.2400,65940.3000,65940.3000,65940.3000,0.0000,65940.3000
scenario_label=sequential,99.0000,399.0000,9.0000,24.0000,99.0000,99.0000,99.0000,0.0000,99.0000
