scenario_point,SGCT,SGCT(d10),SGCT(d4),SGCT(d6),SGCT(d8),SGCT(no_local_short_id),SGCT(no_low_d_fallback),SGCT(no_signature_grouping),SGCT(no_suffix_extension)
scenario_label=clustered,1390.2200,613.3600,3166.1800,2978.3400,1391.9400,1391.9400,1393.3800,1391.9400,1391.9400
scenario_label=dispersed,257.0000,1022.3400,1404.4800,1196.4800,257.0000,257.0000,257.0000,257.0000,257.0000
scenario_label=prefix64,943.3400,1066.4000,3517.7600,3008.4600,942.3800,942.3800,949.8400,942.3800,942.3800
scenario_label=prefix72,703.5600,1026.9200,3301.8000,2884.7200,708.3800,708.3800,946.6400,708.3800,708.3800
scenario_label=prefix80,257.0000,1022.0400,1407.4600,1199.4600,257.0000,257.0000,257.0000,257.0000,257.0000
scenario_label=prefixed,943.4000,1070.5600,3534.5800,3024.9600,947.6000,947.6000,947.6000,947.6000,947.6000
scenario_label=random,954.7800,1070.6600,3526.4000,3019.4000,950.6200,950.6200,950.6200,950.6200,950.6200
scenario_label=sequential,158.0000,626.0000,168.0000,41.0000,158.0000,158.0000,158.0000,158.0000,158.0000
