scenario_point,algorithm_name,metric,mean,std,p95,ci95,n
scenario_label=clustered,HLCT-Base,total_tag_tx_energy_uj,777.235296,22.443461,811.195200,6.284169,49
scenario_label=clustered,HLCT-Base,total_listening_energy_uj,8355403.822867,304654.065504,8848108.116512,84445.798608,50
scenario_label=clustered,HLCT-Base,total_transmission_energy_uj,2118.344060,116.465337,2281.995150,32.282544,50
scenario_label=clustered,HLCT-Base,total_bits,2224403.200000,91294.483522,2354601.450000,25305.539766,50
scenario_label=clustered,HLCT-Base,avg_tag_bits,155.364156,4.481162,162.212295,1.242115,50
scenario_label=clustered,HLCT-Base,avg_reader_bits,67.076164,4.738338,73.748745,1.313400,50
scenario_label=clustered,HLCT-Base,avg_total_bits,222.440320,9.129448,235.460145,2.530554,50
scenario_label=clustered,HLCT-Base,avg_query_efficiency,2.243059,0.202326,2.512795,0.056082,50
scenario_label=clustered,HLCT-Base,peak_stack_depth,2051.820000,385.844776,2710.100000,106.950715,50
scenario_label=clustered,HLCT-Base,ovg_trigger_count,163.440000,47.430792,230.850000,13.147145,50
scenario_label=clustered,HLCT-Base,fallback_invocation_count,1514.720000,1255.640759,3280.100000,348.045861,50
scenario_label=clustered,HLCT-Base,fallback_invocation_ratio,0.317113,0.250885,0.652693,0.069542,50
scenario_label=clustered,HLCT-Base,prefix_stagnation_trigger_count,82.740000,18.839613,111.550000,5.222074,50
scenario_label=clustered,HLCT-Base,prefix_stag_score_trigger_count,58.020000,12.976415,80.000000,3.596879,50
scenario_label=clustered,HLCT-Base,repeated_pattern_trigger_count,1.420000,1.263135,3.550000,0.350123,50
scenario_label=clustered,HLCT-Base,ovg_success_count,1.660000,1.451389,4.000000,0.402305,50
scenario_label=clustered,HLCT-Base,post_ovg_singleton_count,1.700000,1.501700,4.000000,0.416250,50
scenario_label=clustered,HLCT-Base,ovg_fallback_avoid_count,0.000000,0.000000,0.000000,0.000000,50
scenario_label=clustered,HLCT-Base,ovg_rehash_count,41.600000,15.817841,66.550000,4.384482,50
scenario_label=clustered,HLCT-Base,ovg_width_up_count,6.340000,5.212270,13.650000,1.444767,50
scenario_label=clustered,HLCT-Base,ovg_width_down_count,43.120000,16.474643,68.000000,4.566538,50
scenario_label=clustered,HLCT-Base,ovg_no_singleton_count,50.120000,10.290951,66.550000,2.852506,50
scenario_label=clustered,HLCT-Base,inspect_collision_count,21.400000,16.374445,43.000000,4.538765,50
scenario_label=clustered,HLCT-Base,fcw_cache_created_count,4408.080000,390.029347,4965.750000,108.110619,50
scenario_label=clustered,HLCT-Base,fcw_cache_hit_count,4296.960000,422.371147,4901.350000,117.075309,50
scenario_label=clustered,HLCT-Base,fcw_cache_hit_ratio,0.973968,0.009833,0.987335,0.002726,50
scenario_label=clustered,HLCT-Base,fcw_fast_path_count,0.000000,0.000000,0.000000,0.000000,50
scenario_label=clustered,HLCT-Base,fcw_width_up_count,0.000000,0.000000,0.000000,0.000000,50
scenario_label=clustered,HLCT-Base,fcw_width_down_count,0.000000,0.000000,0.000000,0.000000,50
scenario_label=clustered,HLCT-Base,adaptive_cbit_r4_count,637.920000,186.504018,872.650000,51.696276,50
scenario_label=clustered,HLCT-Base,multibit_fallback_count,1431.420000,1186.502837,3099.100000,328.881807,50
scenario_label=clustered,HLCT-Base,epc_verification_count,10064.700000,9.587939,10079.100000,2.657641,50
scenario_label=clustered,HLCT-Base,verify_fail_count,64.700000,9.587939,79.100000,2.657641,50
