scenario_point,DQTA(k_max=3),DRCT,EMDT,HLCT-Base,LAPCT,NLHQT(n=2),SGCT,SGCT(d10),SGCT(d4),SGCT(d6),SGCT(d8),SGCT(no_local_short_id),SGCT(no_low_d_fallback),SGCT(no_signature_grouping),SGCT(no_suffix_extension)
scenario_label=clustered,25.2400,13.3000,46.7400,2051.8200,17.6000,20.6200,35.4400,70.9800,36.4400,48.1600,35.0200,35.0200,35.0200,35.0200,35.0200
scenario_label=dispersed,18.3600,12.9200,46.8800,2821.5600,17.8200,20.9000,256.0000,1023.8400,44.3200,113.6400,256.0000,256.0000,256.0000,256.0000,256.0000
scenario_label=prefix64,27.2800,13.0400,46.7600,1818.9000,17.7600,21.0200,258.4800,1023.4800,42.3000,110.2800,258.3000,258.3000,258.2800,258.3000,258.3000
scenario_label=prefix72,27.6200,13.1600,46.8000,1816.7200,18.0200,20.9400,258.8000,1023.5600,42.8000,110.7000,259.0200,259.0200,258.6200,259.0200,259.0200
scenario_label=prefix80,27.4200,12.9800,46.8400,1833.3600,17.8200,21.0200,256.0000,1023.4800,44.1200,112.8200,256.0000,256.0000,256.0000,256.0000,256.0000
scenario_label=prefixed,27.3600,13.0600,46.6200,1818.8400,17.9600,21.1200,258.3200,1023.2600,42.4800,110.4000,258.1600,258.1600,258.1600,258.1600,258.1600
scenario_label=random,27.5000,12.9600,47.3400,1818.5000,17.6800,20.8400,258.4800,1023.3600,42.6800,110.4400,258.3400,258.3400,258.3400,258.3400,258.3400
scenario_label=sequential,25.0000,14.0000,46.8800,1544.0000,17.0000,21.0000,157.0000,625.0000,42.0000,105.0000,157.0000,157.0000,157.0000,157.0000,157.0000
