scenario_point,DQTA(k_max=3),DRCT,EMDT,HLCT-Base,LAPCT,NLHQT(n=2),SGCT(d10),SGCT(d4),SGCT(d6),SGCT(d8),SGCT(no_local_short_id),SGCT(no_low_d_fallback),SGCT(no_signature_grouping),SGCT(no_suffix_extension)
scenario_label=clustered,2615.1940,1624.1358,738.6349,777.2353,2125.3499,1346.1237,477.0279,643.6237,554.0216,499.4472,1095.9734,499.4486,499.4472,499.4472
scenario_label=dispersed,2596.4534,1817.7924,738.5202,855.1687,1338.4813,390.0838,412.9560,490.8275,418.4262,429.0816,620.0000,429.0816,429.0816,429.0816
scenario_label=prefix64,1246.5173,1667.6534,737.9806,724.9797,1305.4527,405.6152,330.4639,556.3340,426.2959,340.7274,472.0815,340.7349,340.7274,340.7274
scenario_label=prefix72,833.5808,1783.8156,738.7207,724.7417,880.5137,325.5793,280.0166,493.1915,365.5248,294.8369,380.4885,295.0758,294.8369,294.8369
scenario_label=prefix80,424.0342,1893.1317,738.7566,748.5725,458.5663,239.1636,199.9442,351.3758,257.2118,210.0000,250.0000,210.0000,210.0000,210.0000
scenario_label=prefixed,2073.1790,1435.1793,738.6250,724.8935,2154.3186,565.6142,410.7717,637.0904,507.5443,421.4089,644.0707,421.4089,421.4089,421.4089
scenario_label=random,4553.2564,736.9630,738.8715,725.4263,4701.7698,1045.6407,650.7844,877.0440,747.6012,661.4743,1158.4235,661.4743,661.4743,661.4743
scenario_label=sequential,329.8720,1920.3070,739.0944,704.6800,322.1440,210.0000,170.0000,294.9360,219.9040,179.9680,209.9680,179.9680,179.9680,179.9680
