scenario_point,DQTA(k_max=3),DRCT,EMDT,HLCT-Base,LAPCT,NLHQT(n=2),SGCT,SGCT(d10),SGCT(d4),SGCT(d6),SGCT(d8),SGCT(no_local_short_id),SGCT(no_low_d_fallback),SGCT(no_signature_grouping),SGCT(no_suffix_extension)
scenario_label=clustered,5.8311,75.6219,5.3140,7.5638,11.8460,39.8311,6.5697,6.0474,9.1112,7.6587,6.5900,6.5900,6.5900,6.5900,6.5900
scenario_label=dispersed,9.5859,88.3942,5.3187,9.1433,11.5756,9.3085,5.7000,5.6990,7.9725,6.7156,5.7000,5.7000,5.7000,5.7000,5.7000
scenario_label=prefix64,5.1643,78.6210,5.3190,6.4260,11.6184,9.5615,4.2846,4.0186,7.9838,5.8704,4.2843,4.2843,4.2843,4.2843,4.2843
scenario_label=prefix72,5.1653,86.6159,5.3122,6.4245,11.6146,9.5595,4.2803,4.0167,7.9851,5.8608,4.2830,4.2830,4.2830,4.2830,4.2830
scenario_label=prefix80,5.0645,94.1409,5.3157,6.3247,11.5758,9.3071,4.0000,3.9999,7.8326,5.8326,4.0000,4.0000,4.0000,4.0000,4.0000
scenario_label=prefixed,5.1653,62.6205,5.3161,6.4253,11.6150,9.5613,4.2822,4.0195,7.9860,5.8733,4.2838,4.2838,4.2838,4.2838,4.2838
scenario_label=random,5.1662,14.6252,5.3151,6.4319,11.6149,9.5638,4.2871,4.0195,7.9850,5.8738,4.2851,4.2851,4.2851,4.2851,4.2851
scenario_label=sequential,4.9984,96.0000,5.3137,6.1040,10.9952,9.0000,4.0000,4.0000,7.9968,5.9968,4.0000,4.0000,4.0000,4.0000,4.0000
