scenario_point,SGCT,SGCT(d10),SGCT(d4),SGCT(d6),SGCT(d8),SGCT(no_local_short_id),SGCT(no_low_d_fallback),SGCT(no_signature_grouping),SGCT(no_suffix_extension)
scenario_label=clustered,32841.3600,30235.2000,45524.7800,38160.5200,32943.3600,32943.3600,32946.2400,32943.3600,32943.3600
scenario_label=dispersed,20000.0000,19993.2200,34473.8800,24473.8800,20000.0000,20000.0000,20000.0000,20000.0000,20000.0000
scenario_label=prefix64,21408.4600,20083.5400,39901.5000,29283.2600,21406.8000,21406.8000,21421.7200,21406.8000,21406.8000
scenario_label=prefix72,20927.5600,20004.4400,39462.2600,29028.6200,20937.6000,20937.6000,21414.9600,20937.6000,20937.6000
scenario_label=prefix80,20000.0000,19992.8200,34483.8600,24483.8600,20000.0000,20000.0000,20000.0000,20000.0000,20000.0000
scenario_label=prefixed,21408.3800,20092.0000,39924.9600,29305.1600,21417.2000,21417.2000,21417.2000,21417.2000,21417.2000
scenario_label=random,21433.0200,20092.2000,39919.8400,29305.4400,21423.2000,21423.2000,21423.2000,21423.2000,21423.2000
scenario_label=sequential,20000.0000,20000.0000,30000.0000,20000.0000,20000.0000,20000.0000,20000.0000,20000.0000,20000.0000
