scenario_point,DQTA(k_max=3),DRCT,EMDT,HLCT-Base,LAPCT,NLHQT(n=2),SGCT,SGCT(d10),SGCT(d4),SGCT(d6),SGCT(d8),SGCT(no_local_short_id),SGCT(no_low_d_fallback),SGCT(no_signature_grouping),SGCT(no_suffix_extension)
scenario_label=clustered,620.3196,431.5410,730.9191,597.6589,337.1944,397.2211,983.7423,929.6025,640.4359,601.3262,983.2770,966.1474,983.1000,672.2034,983.2770
scenario_label=dispersed,420.3091,173.7980,730.1207,527.4932,329.6101,1089.1306,1512.4937,1051.4096,724.7132,747.9794,1499.6249,1485.9599,1499.6249,773.5612,1499.6249
scenario_label=prefix64,622.1968,432.2094,729.5251,616.2024,334.8094,865.6837,1141.9345,642.4934,592.7915,602.0446,1142.3191,1128.4526,1141.0561,618.8602,1142.3191
scenario_label=prefix72,622.6042,415.8094,731.3453,602.4384,329.3586,935.6357,1246.6231,659.9325,600.4512,616.6694,1243.4824,1234.2733,1195.6942,663.2200,1243.4824
scenario_label=prefix80,677.7340,458.5521,731.1816,625.7602,324.2598,1089.5237,1821.2490,1215.8561,753.2944,796.5673,1821.2490,1817.0131,1821.2490,851.9400,1821.2490
scenario_label=prefixed,618.4565,472.1425,730.8104,646.4387,346.2811,753.0678,1066.7734,618.8765,605.9077,607.6032,1065.4662,1043.0223,1065.4662,595.3068,1065.4662
scenario_label=random,610.4486,656.1157,731.2469,754.5427,385.9429,541.9540,888.0004,559.5596,655.9417,633.6870,888.6008,851.7107,888.6008,535.5818,888.6008
scenario_label=sequential,1024.5183,555.7199,731.5736,772.1713,323.6114,1396.2892,2169.3574,1618.8099,921.8820,959.0229,2169.3574,2166.5902,2169.3574,2164.1286,2169.3574
