scenario_point,DQTA(k_max=3),DRCT,EMDT,HLCT-Base,LAPCT,NLHQT(n=2),SGCT,SGCT(d10),SGCT(d4),SGCT(d6),SGCT(d8),SGCT(no_local_short_id),SGCT(no_low_d_fallback),SGCT(no_signature_grouping),SGCT(no_suffix_extension)
scenario_label=clustered,1.0764,0.6708,1.6824,2.2431,0.9925,0.5355,3.5897,8.1495,1.5780,1.6492,3.5864,3.5864,3.5864,3.5864,3.5864
scenario_label=dispersed,0.6798,0.2813,1.6781,1.6211,0.9959,0.6080,14.2177,3.9705,1.4882,1.5554,13.9597,13.9597,13.9597,13.9597,13.9597
scenario_label=prefix64,1.0791,0.6902,1.6747,2.5195,0.9959,0.5489,5.2657,4.6707,1.4181,1.6436,5.2702,5.2702,5.2702,5.2702,5.2702
scenario_label=prefix72,1.0771,0.6907,1.6847,2.5224,0.9959,0.5492,5.3229,4.6910,1.4155,1.6548,5.2875,5.2875,5.2875,5.2875,5.2875
scenario_label=prefix80,1.1675,0.7957,1.6831,2.7882,0.9959,0.6083,19.4932,4.8830,1.5414,1.6470,19.4932,19.4932,19.4932,19.4932,19.4932
scenario_label=prefixed,1.0769,0.6907,1.6815,2.5200,0.9959,0.5487,5.2989,4.6613,1.4139,1.6367,5.2778,5.2778,5.2778,5.2778,5.2778
scenario_label=random,1.0773,0.6925,1.6834,2.5015,0.9959,0.5484,5.2360,4.6613,1.4171,1.6390,5.2593,5.2593,5.2593,5.2593,5.2593
scenario_label=sequential,1.7473,0.9915,1.6855,4.5249,0.9906,0.7497,31.7460,7.9936,1.8772,1.9712,31.7460,31.7460,31.7460,31.7460,31.7460
