scenario_point,SGCT,SGCT(d10),SGCT(d4),SGCT(d6),SGCT(d8),SGCT(no_local_short_id),SGCT(no_low_d_fallback),SGCT(no_signature_grouping),SGCT(no_suffix_extension)
scenario_label=clustered,1395.7600,614.2000,3171.1400,3085.4400,1396.9200,1396.9200,1396.9200,1396.9200,1396.9200
scenario_label=dispersed,467.8000,1597.2000,3524.3000,3500.4400,478.0000,478.0000,478.0000,478.0000,478.0000
scenario_label=prefix64,950.5600,1072.2600,3528.4600,3072.3200,949.8400,949.8400,949.8400,949.8400,949.8400
scenario_label=prefix72,940.1600,1066.4000,3532.9400,3022.0400,946.6400,946.6400,946.6400,946.6400,946.6400
scenario_label=prefix80,257.0000,1024.4600,3244.4800,3036.4800,257.0000,257.0000,257.0000,257.0000,257.0000
scenario_label=prefixed,946.1800,1075.8800,3539.5000,3086.1200,949.5400,949.5400,949.5400,949.5400,949.5400
scenario_label=random,957.2600,1075.7600,3531.5600,3083.0400,953.0000,953.0000,953.0000,953.0000,953.0000
scenario_label=sequential,158.0000,626.0000,2664.0000,2537.0000,158.0000,158.0000,158.0000,158.0000,158.0000
