scenario_point,DQTA(k_max=3),DRCT,EMDT,HLCT-Base,LAPCT,NLHQT(n=2),SGCT,SGCT(d10),SGCT(d4),SGCT(d6),SGCT(d8),SGCT(no_local_short_id),SGCT(no_low_d_fallback),SGCT(no_signature_grouping),SGCT(no_suffix_extension)
scenario_label=clustered,613.7532,477.7587,172.1731,222.4403,637.5224,440.3394,154.5669,133.4389,222.9959,206.6644,154.8527,274.5047,154.8662,171.5880,154.8527
scenario_label=dispersed,684.4367,795.3398,172.1253,258.6940,490.8456,138.1826,115.5776,136.6197,186.6480,169.7184,116.7735,154.9935,116.7735,138.9858,116.7735
scenario_label=prefix64,342.3404,488.3192,171.9771,207.2878,476.8818,146.7491,113.4237,117.0304,215.8366,182.5111,113.4023,139.6746,113.4739,139.7304,113.4023
scenario_label=prefix72,267.3312,523.0385,172.1332,210.2225,399.8512,130.7104,102.9830,108.0744,206.5801,172.8745,103.1433,120.2732,105.5313,128.1605,103.1433
scenario_label=prefix80,183.9734,532.4185,172.1795,211.5543,323.1478,107.9403,71.3225,90.1017,159.5483,135.4483,71.3225,79.3225,71.3225,93.5347,71.3225
scenario_label=prefixed,492.9915,417.8124,172.1496,201.2034,630.7211,178.7720,126.4558,129.7685,220.9854,189.3705,126.5478,171.0801,126.5478,152.9042,126.5478
scenario_label=random,944.4165,205.6276,172.1977,183.4162,1092.4278,274.7908,165.5545,167.4679,234.9338,207.9927,165.4901,264.8730,165.4901,191.8647,165.4901
scenario_label=sequential,132.9872,510.7454,172.2856,187.4834,297.3813,89.7960,62.3370,72.5908,133.2856,115.0129,62.3370,68.3370,62.3370,62.3766,62.3370
