scenario_point,DQTA(k_max=3),DRCT,EMDT,HLCT-Base,LAPCT,NLHQT(n=2),SGCT(d10),SGCT(d4),SGCT(d6),SGCT(d8),SGCT(no_local_short_id),SGCT(no_low_d_fallback),SGCT(no_signature_grouping),SGCT(no_suffix_extension)
scenario_label=clustered,807.5486,1163.2072,684.6243,836.3144,1484.2289,1261.7859,539.4811,781.7711,831.7069,508.3195,517.7523,508.4234,744.7986,508.3195
scenario_label=dispersed,1216.7297,3066.1468,684.7558,1062.2287,1518.3669,459.4531,490.9852,694.5862,677.4043,337.5737,343.7022,337.5737,649.7499,337.5737
scenario_label=prefix64,805.4560,1161.1837,686.6101,817.2420,1494.7391,577.8888,789.0385,844.9354,831.8182,440.2623,447.5771,440.7452,810.3917,440.2623
scenario_label=prefix72,803.3807,1209.2790,683.0934,835.9618,1519.4268,535.2148,768.7222,833.2813,811.2477,404.6875,408.9748,420.5888,756.6899,404.6875
scenario_label=prefix80,738.9113,1095.6324,685.3456,821.5001,1543.2777,459.2809,421.9995,664.9902,628.9985,277.4640,278.7480,277.4640,589.9328,277.4640
scenario_label=prefixed,810.0129,1063.0709,685.1732,780.5109,1445.2956,664.5811,819.3982,826.2698,824.1067,471.6634,484.9720,471.6634,842.5939,471.6634
scenario_label=random,821.2587,763.1980,683.4839,671.1970,1297.0652,922.9084,904.3363,763.1546,790.2181,565.3292,596.8267,565.3292,936.2034,565.3292
scenario_label=sequential,489.7849,905.0980,683.1992,649.9151,1546.8051,358.3741,315.7248,543.1459,522.5634,232.5443,233.1361,232.5443,233.6582,232.5443
