scenario_point,DQTA(k_max=3),DRCT,EMDT,HLCT-Base,LAPCT,NLHQT(n=2),SGCT,SGCT(d10),SGCT(d4),SGCT(d6),SGCT(d8),SGCT(no_local_short_id),SGCT(no_low_d_fallback),SGCT(no_signature_grouping),SGCT(no_suffix_extension)
scenario_label=clustered,8075636.9889,11632071.6095,6846575.6761,8357522.1669,14842462.6094,12615983.5650,5072153.1884,5394810.7357,7816628.1648,8316687.0621,5082289.3088,5176594.0778,5083308.1870,7446632.2354,5082289.3088
scenario_label=dispersed,12168852.2297,30661468.2613,6848172.3015,10633334.8185,15184140.4955,4594757.0440,3348101.4506,4909852.4632,6941696.2201,6766813.9428,3375694.4368,3437037.5368,3375694.4368,6497865.0596,3375694.4368
scenario_label=prefix64,8055147.6270,11611837.1102,6863249.8047,8172001.2514,14947412.1330,5778452.5929,4404073.8770,7890385.1644,8449095.5914,8317137.4900,4404054.2659,4477247.3531,4408905.5384,8105705.7214,4404054.2659
scenario_label=prefix72,8031869.0588,12092789.5256,6830243.9064,8359462.3823,15194267.2598,5352098.2000,4035796.7433,7687222.3641,8332201.0367,8112245.8583,4046443.2979,4089310.5365,4205404.8842,7566066.7855,4046443.2979
scenario_label=prefix80,7388454.2422,10956324.2197,6850700.7913,8214793.2784,15432779.1808,4592868.7159,2774092.7809,4219994.7135,6648327.0435,6288387.7496,2774687.2872,2787527.2872,2774687.2872,5899628.5924,2774687.2872
scenario_label=prefixed,8099804.7173,10630709.1411,6850009.2215,7804975.6851,14452967.7661,6645703.1196,4712059.5843,8193982.4009,8263113.4073,8240849.5861,4717046.2021,4850171.5629,4717046.2021,8425758.6267,4717046.2021
scenario_label=random,8212596.2407,7631979.8949,6834007.2145,6711317.8167,12970634.1781,9229143.8313,5653225.3804,9043363.2250,7631288.3966,7901785.2568,5652693.0619,5967522.0136,5652693.0619,9360560.3142,5652693.0619
scenario_label=sequential,4897848.6870,9050979.8500,6833409.4294,6499151.2680,15468050.9240,3583741.1160,2325443.3620,3157248.0660,5431458.7660,5225634.4040,2325443.3620,2331360.8620,2325443.3620,2336581.6540,2325443.3620
