scenario_point,SGCT,SGCT(d10),SGCT(d4),SGCT(d6),SGCT(d8),SGCT(no_local_short_id),SGCT(no_low_d_fallback),SGCT(no_signature_grouping),SGCT(no_suffix_extension)
scenario_label=clustered,9996.7200,9998.3200,9997.4000,9998.0400,9997.1200,9997.1200,10000.0000,9997.1200,9997.1200
scenario_label=dispersed,10000.0000,9993.4000,5307.7400,5307.7400,10000.0000,10000.0000,10000.0000,10000.0000,10000.0000
scenario_label=prefix64,9985.5600,9993.1200,9986.1200,9990.4400,9985.0800,9985.0800,10000.0000,9985.0800,9985.0800
scenario_label=prefix72,9526.0800,9920.9800,9536.7400,9724.8200,9522.6400,9522.6400,10000.0000,9522.6400,9522.6400
scenario_label=prefix80,10000.0000,9993.2800,5320.6400,5320.6400,10000.0000,10000.0000,10000.0000,10000.0000,10000.0000
scenario_label=prefixed,10000.0000,10000.0000,10000.0000,10000.0000,10000.0000,10000.0000,10000.0000,10000.0000,10000.0000
scenario_label=random,10000.0000,10000.0000,10000.0000,10000.0000,10000.0000,10000.0000,10000.0000,10000.0000,10000.0000
scenario_label=sequential,10000.0000,10000.0000,16.0000,16.0000,10000.0000,10000.0000,10000.0000,10000.0000,10000.0000
