scenario_point,DQTA(k_max=3),DRCT,EMDT,HLCT-Base,LAPCT,NLHQT(n=2),SGCT,SGCT(d10),SGCT(d4),SGCT(d6),SGCT(d8),SGCT(no_local_short_id),SGCT(no_low_d_fallback),SGCT(no_signature_grouping),SGCT(no_suffix_extension)
scenario_label=clustered,8071211.7196,11627388.8435,6845348.2811,8355403.8229,14836087.2239,12611214.8099,5070558.0721,5393573.0411,7814098.3780,8314216.8992,5080692.2469,5174398.7560,5081710.8596,7444700.4683,5080692.2469
scenario_label=dispersed,12162982.0304,30651014.8435,6846945.2812,10630731.1717,15178336.7180,4593164.1890,3347060.0992,4908358.9369,6939435.4541,6764676.2809,3374646.2666,3435798.2666,3374646.2666,6496372.6442,3374646.2666
scenario_label=prefix64,8052040.4082,11607073.6859,6862024.3780,8170030.3814,14941790.9171,5776734.4564,4402827.6200,7889035.9479,8446447.8633,8314766.1381,4402808.4224,4475870.1481,4407658.2853,8103933.3167,4402808.4224
scenario_label=prefix72,8029023.1117,12087680.2025,6829017.1890,8357432.1626,15188911.7873,5350460.7249,4034621.4205,7685900.9263,8329549.0002,8109884.9405,4045264.9354,4088046.5245,4204179.4773,7564388.0777,4045264.9354
scenario_label=prefix80,7386046.8828,10951355.2456,6849473.4954,8212807.7971,15427691.9306,4591427.3978,2773296.3309,4218792.5130,6646190.1913,6286450.4086,2773890.8372,2786690.8372,2773890.8372,5898387.8986,2773890.8372
scenario_label=prefixed,8096164.3739,10626658.4307,6848782.1322,7803126.3395,14446816.3430,6643824.5189,4710794.5232,8192619.3456,8260604.9861,8238584.8128,4715779.4703,4848682.1698,4715779.4703,8423964.7672,4715779.4703
scenario_label=random,8207367.5838,7630078.2320,6832779.7272,6709825.6768,12962891.0563,9226784.9281,5651898.9239,9041966.2211,7629220.8459,7899868.1861,5651367.6590,5965699.6965,5651367.6590,9358707.4199,5651367.6590
scenario_label=sequential,4896178.5590,9046525.8630,6832180.9730,6497515.6400,15463069.7300,3582575.1960,2324736.5260,3156306.2500,5429677.8620,5223993.8580,2324736.5260,2330624.0260,2324736.5260,2335874.0260,2324736.5260
