scenario_point,DQTA(k_max=3),DRCT,EMDT,HLCT-Base,LAPCT,NLHQT(n=2),SGCT,SGCT(d10),SGCT(d4),SGCT(d6),SGCT(d8),SGCT(no_local_short_id),SGCT(no_low_d_fallback),SGCT(no_signature_grouping),SGCT(no_suffix_extension)
scenario_label=clustered,4425.2693,4682.7660,1227.3950,2118.3441,6375.3855,4768.7551,1595.1163,1237.6946,2529.7868,2470.1629,1597.0619,2195.3219,1597.3273,1931.7672,1597.0619
scenario_label=dispersed,5870.1993,10453.4178,1227.0203,2603.6467,5803.7774,1592.8550,1041.3513,1493.5263,2260.7659,2137.6619,1048.1703,1239.2703,1048.1703,1492.4154,1048.1703
scenario_label=prefix64,3107.2188,4763.4243,1225.4267,1970.8700,5621.2159,1718.1365,1246.2570,1349.2164,2647.7281,2371.3519,1245.8436,1377.2050,1247.2531,1772.4047,1245.8436
scenario_label=prefix72,2845.9471,5109.3231,1226.7174,2030.2197,5355.4726,1637.4751,1175.3228,1321.4377,2652.0365,2360.9178,1178.3625,1264.0120,1225.4069,1678.7078,1178.3625
scenario_label=prefix80,2407.3594,4968.9741,1227.2959,1985.4813,5087.2501,1441.3182,796.4500,1202.2006,2136.8522,1937.3410,796.4500,836.4500,796.4500,1240.6938,796.4500
scenario_label=prefixed,3640.3434,4050.7104,1227.0894,1849.3456,6151.4231,1878.6006,1265.0610,1363.0553,2508.4213,2264.7733,1266.7318,1489.3931,1266.7318,1793.8595,1266.7318
scenario_label=random,5228.6569,1901.6628,1227.4873,1492.1399,7743.1218,2358.9032,1326.4566,1397.0039,2067.5507,1917.0708,1325.4029,1822.3171,1325.4029,1852.8943,1325.4029
scenario_label=sequential,1670.1280,4453.9870,1228.4565,1635.6280,4981.1940,1165.9200,706.8360,941.8160,1780.9040,1640.5460,706.8360,736.8360,706.8360,707.6280,706.8360
