scenario_point,DQTA(k_max=3),DRCT,EMDT,HLCT-Base,LAPCT,NLHQT(n=2),SGCT,SGCT(d10),SGCT(d4),SGCT(d6),SGCT(d8),SGCT(no_local_short_id),SGCT(no_low_d_fallback),SGCT(no_signature_grouping),SGCT(no_suffix_extension)
scenario_label=clustered,90.4336,152.9315,24.4353,67.0762,212.5182,171.1372,54.8188,38.0333,94.3205,95.7894,54.8532,54.8532,54.8664,71.5885,54.8532
scenario_label=dispersed,163.2010,431.7813,24.4262,87.3451,223.3033,60.1295,30.8976,54.0285,88.5017,85.9380,30.9535,30.9535,30.9535,53.1658,30.9535
scenario_label=prefix64,93.0345,154.7885,24.3694,62.2954,215.7871,65.6261,45.2759,50.9376,104.5697,97.2531,45.2555,45.2555,45.3256,71.5835,45.2555
scenario_label=prefix72,100.6194,166.2754,24.4034,65.2738,223.7478,65.5949,44.0272,52.0711,107.9424,99.7697,44.1764,44.1764,46.5167,69.1937,44.1764
scenario_label=prefix80,99.1662,153.7921,24.4266,61.8473,231.4341,60.1078,29.3225,50.1128,89.2740,84.0066,29.3225,29.3225,29.3225,51.5347,29.3225
scenario_label=prefixed,78.3591,130.7766,24.4228,56.2219,199.8545,65.6494,42.1855,47.6142,93.5663,87.8614,42.2662,42.2662,42.2662,68.6226,42.2662
scenario_label=random,33.7716,58.2350,24.4332,38.3373,152.0655,65.6633,33.2456,37.3110,59.5255,58.4738,33.1968,33.1968,33.1968,59.5714,33.1968
scenario_label=sequential,67.0128,126.6840,24.4686,46.5474,232.9525,47.7960,26.3434,38.5908,74.2984,71.0321,26.3434,26.3434,26.3434,26.3830,26.3434
