scenario_point,DQTA(k_max=3),DRCT,EMDT,HLCT-Base,LAPCT,NLHQT(n=2),SGCT,SGCT(d10),SGCT(d4),SGCT(d6),SGCT(d8),SGCT(no_local_short_id),SGCT(no_low_d_fallback),SGCT(no_signature_grouping),SGCT(no_suffix_extension)
scenario_label=clustered,34927.5000,44728.0800,19930.5400,33036.8800,19928.0800,17453.5400,15570.3400,12455.8000,22672.5800,22022.4000,15576.0600,15576.0600,15576.0600,57414.2200,15576.0600
scenario_label=dispersed,34642.9600,114293.1600,19944.3400,27285.3200,19956.8800,16190.4800,11237.8000,14670.6000,23258.6000,22610.7400,11248.0000,11248.0000,11248.0000,66778.6400,11248.0000
scenario_label=prefix64,34864.5800,43467.7200,19995.3200,34486.0600,19956.6800,17224.7000,13801.2400,14280.7800,24101.5600,22111.0400,13798.3600,13798.3600,13798.3600,79618.5000,13798.3600
scenario_label=prefix72,34913.5800,43440.4200,19928.4400,34475.2400,19956.5600,17221.2200,13759.6400,14264.6000,24130.7600,22087.1600,13785.5600,13785.5600,13785.5600,76328.7200,13785.5600
scenario_label=prefix80,31466.9600,37704.6000,19898.7000,29026.3800,19956.9200,16184.0800,11027.0000,14096.8400,22976.9200,22144.9200,11027.0000,11027.0000,11027.0000,66557.4800,11027.0000
scenario_label=prefixed,34873.4200,43440.0000,19924.3200,34489.0200,19956.6000,17231.5800,13775.3800,14286.5600,24142.2400,22160.0000,13791.3400,13791.3400,13791.3400,79682.3000,13791.3400
scenario_label=random,34900.0000,43328.8200,19902.0000,34715.1400,19956.4400,17234.8400,13820.6000,14286.7400,24109.7600,22140.2400,13803.8600,13803.8600,13803.8600,79740.2800,13803.8600
scenario_label=sequential,18588.0000,30261.0000,19881.7600,14427.0000,19905.0000,13337.0000,10631.0000,12503.0000,20655.0000,20147.0000,10631.0000,10631.0000,10631.0000,10730.0000,10631.0000
