TOTAL_TAGS,BINARY_LENGTH,scenario_label,id_distribution,scenario_point,ber,enable_refined_energy_model,enable_resource_monitoring,sgct_d_target,signature_slot_cap,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,prefix_length,cluster_count,cluster_prefix_length,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms,signature_grouping_trigger_count,sparse_signature_groups,signature_groups_pruned,signature_marker_tag_bits,signature_collision_groups,signature_singleton_groups,max_signature_d
10000,96,random,random,"scenario_label=random,sgct_d_target=10,signature_slot_cap=512",0.000000,True,True,10,512,formal_sgct_signature_sensitivity,3843074880,4132138492,12078297.500000,311588.000000,1306199.000000,12817,6090679.308375,1276.275500,6091955.583875,10000,10000,0,1409,706,704,513,255009,10703,20385,20385,10703,703,10000,0,0,0,0,0,0,9,10000,0,4.077400,0,827.931254,SGCT,0,512,,,,11409,0.876501,130.619900,31.158800,1617787.000000,161.778700,7.097232,12078.297500,704,10703,255009,20385,703,10000,9
10000,96,random,random,"scenario_label=random,sgct_d_target=10,signature_slot_cap=1024",0.000000,True,True,10,1024,formal_sgct_signature_sensitivity,3780611536,1120308001,17825893.750000,371110.000000,1301147.000000,14247,9036087.763125,1392.793500,9037480.556625,10000,10000,0,2123,1062,1062,1024,1038123,11061,20076,20076,11061,1061,10000,0,0,0,0,0,0,10,10000,0,4.015200,0,560.981690,SGCT,0,1023,,,,12123,0.824878,130.114700,37.111000,1672257.000000,167.225700,4.710316,17825.893750,1062,11061,1038123,20076,1061,10000,10
10000,96,prefix80,prefixed,"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=256",0.000000,True,True,4,256,formal_sgct_signature_sensitivity,617568256,1269235119,13255182.500000,891205.000000,702760.000000,22955,6650932.838875,2133.790000,6653066.628875,10000,10000,0,6477,3239,1404,0,13886,8578,34486,34486,8578,3238,5340,1835,0,0,0,0,0,4,10000,0,7.829200,0,754.421903,SGCT,0,44,80.000000,,,16477,0.606907,70.276000,89.120500,1593965.000000,159.396500,1.543925,13255.182500,1404,8578,13886,34486,3238,5340,4
10000,96,prefix80,prefixed,"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=512",0.000000,True,True,4,512,formal_sgct_signature_sensitivity,342312280,3884495464,13316137.500000,895612.000000,702937.000000,23023,6655572.414500,2142.692500,6657715.107000,10000,10000,0,6511,3256,1419,0,14119,8585,34503,34503,8585,3255,5330,1837,0,0,0,0,0,4,10000,0,7.834600,0,750.968515,SGCT,0,45,80.000000,,,16511,0.605657,70.293700,89.561200,1598549.000000,159.854900,1.535862,13316.137500,1419,8585,14119,34503,3255,5330,4
10000,96,prefix80,prefixed,"scenario_label=prefix80,sgct_d_target=4,signature_slot_cap=1024",0.000000,True,True,4,1024,formal_sgct_signature_sensitivity,1684810949,1758111900,13303537.500000,894775.000000,702888.000000,22975,6647857.799125,2140.994000,6649998.793125,10000,10000,0,6487,3244,1428,0,14232,8616,34554,34554,8616,3243,5373,1816,0,0,0,0,0,4,10000,0,7.836200,0,751.679769,SGCT,0,46,80.000000,,,16487,0.606538,70.288800,89.477500,1597663.000000,159.766300,1.541545,13303.537500,1428,8616,14232,34554,3243,5373,4
10000,96,prefix80,prefixed,"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=256",0.000000,True,True,6,256,formal_sgct_signature_sensitivity,4038557423,1037598557,12515340.000000,837234.000000,514422.000000,22067,6274530.395375,1931.679000,6276462.074375,10000,10000,0,6033,3017,1199,0,13943,8361,24486,24486,8361,3016,5345,1818,0,0,0,0,0,6,10000,0,5.828200,0,799.019443,SGCT,0,114,80.000000,,,16033,0.623714,51.442200,83.723400,1351656.000000,135.165600,1.657550,12515.340000,1199,8361,13943,24486,3016,5345,6
10000,96,prefix80,prefixed,"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=512",0.000000,True,True,6,512,formal_sgct_signature_sensitivity,2698186259,20981297,12523685.000000,837828.000000,514515.000000,22091,6284273.927625,1932.913500,6286206.841125,10000,10000,0,6045,3023,1198,0,13923,8365,24495,24495,8365,3022,5343,1825,0,0,0,0,0,6,10000,0,5.830400,0,798.487027,SGCT,0,114,80.000000,,,16045,0.623247,51.451500,83.782800,1352343.000000,135.234300,1.654260,12523.685000,1198,8365,13923,24495,3022,5343,6
10000,96,prefix80,prefixed,"scenario_label=prefix80,sgct_d_target=6,signature_slot_cap=1024",0.000000,True,True,6,1024,formal_sgct_signature_sensitivity,3388469276,44590780,12551936.250000,839815.000000,514516.000000,22119,6282166.533375,1936.888000,6284103.421375,10000,10000,0,6059,3030,1210,0,14074,8406,24534,24534,8406,3029,5377,1820,0,0,0,0,0,6,10000,0,5.831400,0,796.689833,SGCT,0,114,80.000000,,,16059,0.622704,51.451600,83.981500,1354331.000000,135.433100,1.650437,12551.936250,1210,8406,14074,24534,3029,5377,6
10000,96,prefix80,prefixed,"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=256",0.000000,True,True,8,256,formal_sgct_signature_sensitivity,3444266475,2731900105,5490737.500000,293225.000000,420000.000000,11027,2776904.209750,796.450000,2777700.659750,10000,10000,0,513,257,257,257,55536,10256,20000,20000,10256,256,10000,0,0,0,0,0,0,8,10000,0,4.000000,0,1821.248967,SGCT,0,256,80.000000,,,10513,0.951203,42.000000,29.322500,713225.000000,71.322500,19.493177,5490.737500,257,10256,55536,20000,256,10000,8
10000,96,prefix80,prefixed,"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=512",0.000000,True,True,8,512,formal_sgct_signature_sensitivity,395249294,678983891,5490737.500000,293225.000000,420000.000000,11027,2774445.568500,796.450000,2775242.018500,10000,10000,0,513,257,257,257,55536,10256,20000,20000,10256,256,10000,0,0,0,0,0,0,8,10000,0,4.000000,0,1821.248967,SGCT,0,256,80.000000,,,10513,0.951203,42.000000,29.322500,713225.000000,71.322500,19.493177,5490.737500,257,10256,55536,20000,256,10000,8
10000,96,prefix80,prefixed,"scenario_label=prefix80,sgct_d_target=8,signature_slot_cap=1024",0.000000,True,True,8,1024,formal_sgct_signature_sensitivity,3020820299,2950043027,5490737.500000,293225.000000,420000.000000,11027,2771216.038000,796.450000,2772012.488000,10000,10000,0,513,257,257,257,55536,10256,20000,20000,10256,256,10000,0,0,0,0,0,0,8,10000,0,4.000000,0,1821.248967,SGCT,0,256,80.000000,,,10513,0.951203,42.000000,29.322500,713225.000000,71.322500,19.493177,5490.737500,257,10256,55536,20000,256,10000,8
10000,96,prefix80,prefixed,"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=256",0.000000,True,True,10,256,formal_sgct_signature_sensitivity,2782669049,1971941576,5490737.500000,293225.000000,420000.000000,11027,2773211.186750,796.450000,2774007.636750,10000,10000,0,513,257,257,257,55536,10256,20000,20000,10256,256,10000,0,0,0,0,0,0,8,10000,0,4.000000,0,1821.248967,SGCT,0,256,80.000000,,,10513,0.951203,42.000000,29.322500,713225.000000,71.322500,19.493177,5490.737500,257,10256,55536,20000,256,10000,8
10000,96,prefix80,prefixed,"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=512",0.000000,True,True,10,512,formal_sgct_signature_sensitivity,578376700,3916819540,6398885.000000,363632.000000,410000.000000,12051,3250306.835750,932.264000,3251239.099750,10000,10000,0,1025,513,513,1,55536,10512,20000,20000,10512,512,10000,0,0,0,0,0,0,9,10000,0,4.000000,0,1562.772264,SGCT,0,512,80.000000,,,11025,0.907029,41.000000,36.363200,773632.000000,77.363200,9.756098,6398.885000,513,10512,55536,20000,512,10000,9
10000,96,prefix80,prefixed,"scenario_label=prefix80,sgct_d_target=10,signature_slot_cap=1024",0.000000,True,True,10,1024,formal_sgct_signature_sensitivity,2333445668,3156551537,8226632.500000,501238.000000,399937.000000,14099,4214041.620875,1202.444500,4215244.065375,10000,10000,0,2049,1025,1022,1,53865,11015,19991,19991,11015,1024,9991,3,0,0,0,0,0,10,10000,0,4.000000,0,1215.564206,SGCT,0,1024,80.000000,,,12049,0.829944,39.993700,50.123800,901175.000000,90.117500,4.880429,8226.632500,1022,11015,53865,19991,1024,9991,10
