scenario_point,algorithm_name,metric,mean,std,p95,ci95,n
"scenario_label=clustered,energy_profile=balanced-high",NLHQT(n=2),avg_tag_bits,269.163208,1.080087,270.144580,0.299385,50
"scenario_label=clustered,energy_profile=balanced-high",NLHQT(n=2),avg_reader_bits,171.098984,0.941731,172.498950,0.261035,50
"scenario_label=clustered,energy_profile=balanced-high",NLHQT(n=2),avg_total_bits,440.262192,1.917725,442.646320,0.531566,50
"scenario_label=clustered,energy_profile=balanced-high",NLHQT(n=2),avg_query_efficiency,0.535495,0.002882,0.540419,0.000799,50
"scenario_label=clustered,energy_profile=balanced-high",NLHQT(n=2),peak_stack_depth,20.620000,0.966585,22.000000,0.267924,50
"scenario_label=clustered,energy_profile=balanced-high",NLHQT(n=2),avg_tag_responses,39.821608,0.268373,40.072290,0.074389,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,total_protocol_time_ms,10170.967500,88.549894,10318.794313,24.544778,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,throughput_tags_per_sec,983.263658,8.559100,996.061768,2.372461,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,system_efficiency,0.781897,0.003265,0.786788,0.000905,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,collision_slots,2789.620000,53.421653,2879.800000,14.807727,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,idle_slots,0.000000,0.000000,0.000000,0.000000,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,total_energy_uj,10157198.399050,101720.866899,10327942.145025,28195.585791,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,energy_per_tag_uj,1015.719840,10.172087,1032.794215,2.819559,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,total_reader_tx_energy_uj,1645.627680,18.807440,1677.001500,5.213156,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,total_tag_tx_energy_uj,1001.331000,25.167578,1054.695500,6.976097,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,total_listening_energy_uj,10154551.440370,101705.266849,10325267.737275,28191.261678,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,total_transmission_energy_uj,2646.958680,30.203683,2690.662850,8.372034,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,total_bits,1549873.560000,25451.019596,1600017.950000,7054.662710,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,avg_tag_bits,100.133100,2.516758,105.469550,0.697610,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,avg_reader_bits,54.854256,0.626915,55.900050,0.173772,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,avg_total_bits,154.987356,2.545102,160.001795,0.705466,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,avg_query_efficiency,3.586006,0.068674,3.690174,0.019036,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,peak_stack_depth,35.020000,1.834922,38.000000,0.508614,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,progressive_probe_count,1396.980000,26.872708,1442.850000,7.448735,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,signature_grouping_trigger_count,1392.080000,26.661782,1435.850000,7.390269,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,local_short_id_trigger_count,129.000000,0.000000,129.000000,0.000000,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,signature_groups_pruned,41843.760000,399.807737,42500.400000,110.821051,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,sparse_signature_groups,11389.520000,26.814739,11433.200000,7.432666,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,signature_marker_bits,32997.140000,1002.995534,35115.950000,278.016178,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,signature_marker_tag_bits,32997.140000,1002.995534,35115.950000,278.016178,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,signature_non_idle_marker_count,11389.520000,26.814739,11433.200000,7.432666,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,signature_collision_groups,1392.640000,26.572780,1436.950000,7.365599,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,signature_singleton_groups,9996.880000,2.623598,10000.000000,0.727224,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,low_d_fallback_count,1.560000,1.311799,4.000000,0.363612,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,suffix_signature_trigger_count,0.000000,0.000000,0.000000,0.000000,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,hash_short_id_round_count,0.000000,0.000000,0.000000,0.000000,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,hash_short_id_split_count,0.000000,0.000000,0.000000,0.000000,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,hash_short_id_collision_groups,0.000000,0.000000,0.000000,0.000000,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,hash_short_id_singleton_groups,0.000000,0.000000,0.000000,0.000000,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,small_cluster_guard_count,0.000000,0.000000,0.000000,0.000000,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,max_signature_d,8.000000,0.000000,8.000000,0.000000,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,epc_verification_count,10000.000000,0.000000,10000.000000,0.000000,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,verify_fail_count,0.000000,0.000000,0.000000,0.000000,50
"scenario_label=clustered,energy_profile=balanced-high",SGCT,avg_tag_responses,6.600720,0.200751,7.025810,0.055645,50
"scenario_label=clustered,energy_profile=baseline",DQTA(k_max=3),total_protocol_time_ms,16108.099625,78.425730,16218.939813,21.738503,50
