TOTAL_TAGS,BINARY_LENGTH,scenario_label,id_distribution,scenario_point,ber,enable_refined_energy_model,enable_resource_monitoring,energy_profile,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_reader_tx_energy_uj,total_tag_tx_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,energy_per_tag_uj,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,prefix_length,cluster_count,cluster_prefix_length,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,1302776013,2456963846,13658292.500000,248292.000000,1482864.000000,19673,6787180.583000,496.584000,1482.864000,1979.448000,6789160.031000,10000,678.916003,10000,3739,5934,,,,,,,,,,,,,,,,,,,,5.326500,,732.155941,EMDT,34,47,,,,19673,0.508311,148.286400,24.829200,1731156.000000,173.115600,1.685204,13658.292500
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,103533052,2808955168,11259737.500000,332275.000000,1323159.000000,13820,5656740.194250,664.550000,1323.159000,1987.709000,5658727.903250,10000,565.872790,10000,0,1910,956.000000,955.000000,257.000000,66006.000000,10954.000000,21433.000000,21433.000000,10954.000000,954.000000,10000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,10000.000000,0.000000,4.286800,0.000000,888.120172,SGCT,35,258,,,,11910,0.839631,132.315900,33.227500,1655434.000000,165.543400,5.235602,11259.737500
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,1302776013,3176735023,16407635.000000,338430.000000,9103513.000000,35016,8218649.674750,676.860000,9103.513000,9780.373000,8228430.047750,10000,822.843005,10000,11061,9303,,,,,,,,,,,,,,,,,,,,5.164500,,609.472358,DQTA(k_max=3),34,27,,,,30364,0.329337,910.351300,33.843000,9441943.000000,944.194300,1.074922,16407.635000
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,103533052,1219383724,18391957.500000,654206.000000,2090992.000000,17181,9177820.674250,1308.412000,2090.992000,3399.404000,9181220.078250,10000,918.122008,10000,0,18134,,,,,,,,,,,,,,,,,,,,9.549600,,543.715915,NLHQT(n=2),35,21,,,,28134,0.355442,209.099200,65.420600,2745198.000000,274.519800,0.551450,18391.957500
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,103533052,2850985645,13559130.000000,243782.000000,1479824.000000,19694,6779481.480500,487.564000,1479.824000,1967.388000,6781448.868500,10000,678.144887,10000,3890,5804,,,,,,,,,,,,,,,,,,,,5.286400,,737.510445,EMDT,35,48,,,,19694,0.507769,147.982400,24.378200,1723606.000000,172.360600,1.722950,13559.130000
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,2131311725,300054397,11255570.000000,332100.000000,1323094.000000,13807,5673278.305000,664.200000,1323.094000,1987.294000,5675265.599000,10000,567.526560,10000,0,1905,955.000000,951.000000,257.000000,65946.000000,10950.000000,21430.000000,21430.000000,10950.000000,950.000000,10000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,10000.000000,0.000000,4.286800,0.000000,888.449008,SGCT,36,256,,,,11905,0.839983,132.309400,33.210000,1655194.000000,165.519400,5.249344,11255.570000
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,103533052,2266855667,16415836.250000,338675.000000,9105585.000000,35043,8224931.841125,677.350000,9105.585000,9782.935000,8234714.776125,10000,823.471478,10000,11079,9309,,,,,,,,,,,,,,,,,,,,5.165700,,609.167870,DQTA(k_max=3),35,27,,,,30388,0.329077,910.558500,33.867500,9444260.000000,944.426000,1.074229,16415.836250
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,2131311725,3207841621,18493642.500000,658088.000000,2091296.000000,17274,9228005.165000,1316.176000,2091.296000,3407.472000,9231412.637000,10000,923.141264,10000,0,18310,,,,,,,,,,,,,,,,,,,,9.564800,,540.726360,NLHQT(n=2),36,21,,,,28310,0.353232,209.129600,65.808800,2749384.000000,274.938400,0.546150,18493.642500
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,2131311725,2769096323,13702040.000000,247918.000000,1480752.000000,19922,6929109.810500,495.836000,1480.752000,1976.588000,6931086.398500,10000,693.108640,10000,3960,5962,,,,,,,,,,,,,,,,,,,,5.317800,,729.818334,EMDT,36,47,,,,19922,0.501958,148.075200,24.791800,1728670.000000,172.867000,1.677290,13702.040000
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,373921302,3791445723,11193692.500000,328206.000000,1321963.000000,13671,5627332.854125,656.412000,1321.963000,1978.375000,5629311.229125,10000,562.931123,10000,0,1837,921.000000,917.000000,257.000000,65436.000000,10916.000000,21361.000000,21361.000000,10916.000000,916.000000,10000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,10000.000000,0.000000,4.273000,0.000000,893.360256,SGCT,37,260,,,,11837,0.844809,132.196300,32.820600,1650169.000000,165.016900,5.443658,11193.692500
10000,96,random,random,"scenario_label=random,energy_profile=tag-expensive",0.000000,True,True,tag-expensive,formal_sgct_energy_sensitivity,2131311725,467946593,16347911.250000,336377.000000,9094566.000000,34888,8193324.778625,672.754000,9094.566000,9767.320000,8203092.098625,10000,820.309210,10000,11014,9249,,,,,,,,,,,,,,,,,,,,5.158900,,611.698941,DQTA(k_max=3),36,28,,,,30263,0.330437,909.456600,33.637700,9430943.000000,943.094300,1.081198,16347.911250
