scenario_point,candidate,baseline,metric,candidate_mean,baseline_mean,mean_improvement,mean_improvement_pct,paired_t_stat,paired_t_p_value_normal_approx,cohens_d,win_rate,n
"scenario_label=prefix80,energy_profile=baseline",SGCT,DQTA(k_max=3),total_protocol_time_ms,5490.737500,14771.837050,9281.099550,62.829691,740.600048,0.000000,104.736663,1.000000,50
"scenario_label=prefix80,energy_profile=baseline",SGCT,EMDT,total_protocol_time_ms,5490.737500,13666.501000,8175.763500,59.823385,508.372193,0.000000,71.894685,1.000000,50
"scenario_label=prefix80,energy_profile=baseline",SGCT,NLHQT(n=2),total_protocol_time_ms,5490.737500,9180.418900,3689.681400,40.190774,1543.237990,0.000000,218.246810,1.000000,50
"scenario_label=prefix80,energy_profile=listen-expensive",SGCT,DQTA(k_max=3),total_protocol_time_ms,5490.737500,14760.339000,9269.601500,62.800736,909.081610,0.000000,128.563554,1.000000,50
"scenario_label=prefix80,energy_profile=listen-expensive",SGCT,EMDT,total_protocol_time_ms,5490.737500,13707.269350,8216.531850,59.942879,580.016427,0.000000,82.026710,1.000000,50
"scenario_label=prefix80,energy_profile=listen-expensive",SGCT,NLHQT(n=2),total_protocol_time_ms,5490.737500,9178.983700,3688.246200,40.181422,1451.804571,0.000000,205.316171,1.000000,50
"scenario_label=prefix80,energy_profile=reader-expensive",SGCT,DQTA(k_max=3),total_protocol_time_ms,5490.737500,14769.016775,9278.279275,62.822593,749.732531,0.000000,106.028191,1.000000,50
"scenario_label=prefix80,energy_profile=reader-expensive",SGCT,EMDT,total_protocol_time_ms,5490.737500,13706.709800,8215.972300,59.941244,572.165853,0.000000,80.916471,1.000000,50
"scenario_label=prefix80,energy_profile=reader-expensive",SGCT,NLHQT(n=2),total_protocol_time_ms,5490.737500,9179.435400,3688.697900,40.184366,1709.876470,0.000000,241.813049,1.000000,50
"scenario_label=prefix80,energy_profile=tag-expensive",SGCT,DQTA(k_max=3),total_protocol_time_ms,5490.737500,14778.138175,9287.400675,62.845540,857.183468,0.000000,121.224049,1.000000,50
"scenario_label=prefix80,energy_profile=tag-expensive",SGCT,EMDT,total_protocol_time_ms,5490.737500,13692.482650,8201.745150,59.899621,482.743932,0.000000,68.270302,1.000000,50
"scenario_label=prefix80,energy_profile=tag-expensive",SGCT,NLHQT(n=2),total_protocol_time_ms,5490.737500,9181.365950,3690.628450,40.196943,1669.162920,0.000000,236.055284,1.000000,50
"scenario_label=random,energy_profile=balanced-high",SGCT,DQTA(k_max=3),total_protocol_time_ms,11246.487275,16378.367325,5131.880050,31.333282,734.237957,0.000000,103.836928,1.000000,50
"scenario_label=random,energy_profile=balanced-high",SGCT,EMDT,total_protocol_time_ms,11246.487275,13696.644200,2450.156925,17.888739,140.338023,0.000000,19.846794,1.000000,50
"scenario_label=random,energy_profile=balanced-high",SGCT,NLHQT(n=2),total_protocol_time_ms,11246.487275,18448.100200,7201.612925,39.037152,1149.825911,0.000000,162.609940,1.000000,50
"scenario_label=random,energy_profile=baseline",SGCT,DQTA(k_max=3),total_protocol_time_ms,11257.029650,16382.871125,5125.841475,31.287809,586.341254,0.000000,82.921175,1.000000,50
"scenario_label=random,energy_profile=baseline",SGCT,EMDT,total_protocol_time_ms,11257.029650,13667.700250,2410.670600,17.637719,154.745844,0.000000,21.884367,1.000000,50
"scenario_label=random,energy_profile=baseline",SGCT,NLHQT(n=2),total_protocol_time_ms,11257.029650,18453.118600,7196.088950,38.996601,1348.627248,0.000000,190.724694,1.000000,50
"scenario_label=random,energy_profile=listen-expensive",SGCT,DQTA(k_max=3),total_protocol_time_ms,11240.684600,16367.079450,5126.394850,31.321378,626.936311,0.000000,88.662183,1.000000,50
"scenario_label=random,energy_profile=listen-expensive",SGCT,EMDT,total_protocol_time_ms,11240.684600,13685.636750,2444.952150,17.865096,138.923341,0.000000,19.646727,1.000000,50
"scenario_label=random,energy_profile=listen-expensive",SGCT,NLHQT(n=2),total_protocol_time_ms,11240.684600,18433.635950,7192.951350,39.020795,1238.915015,0.000000,175.209042,1.000000,50
"scenario_label=random,energy_profile=reader-expensive",SGCT,DQTA(k_max=3),total_protocol_time_ms,11247.730975,16377.002350,5129.271375,31.319965,634.898594,0.000000,89.788220,1.000000,50
"scenario_label=random,energy_profile=reader-expensive",SGCT,EMDT,total_protocol_time_ms,11247.730975,13708.100850,2460.369875,17.948291,141.996169,0.000000,20.081291,1.000000,50
"scenario_label=random,energy_profile=reader-expensive",SGCT,NLHQT(n=2),total_protocol_time_ms,11247.730975,18443.897900,7196.166925,39.016519,1197.504263,0.000000,169.352677,1.000000,50
"scenario_label=random,energy_profile=tag-expensive",SGCT,DQTA(k_max=3),total_protocol_time_ms,11249.878600,16377.133300,5127.254700,31.307400,554.752823,0.000000,78.453897,1.000000,50
"scenario_label=random,energy_profile=tag-expensive",SGCT,EMDT,total_protocol_time_ms,11249.878600,13709.759250,2459.880650,17.942552,122.953796,0.000000,17.388293,1.000000,50
"scenario_label=random,energy_profile=tag-expensive",SGCT,NLHQT(n=2),total_protocol_time_ms,11249.878600,18446.701050,7196.822450,39.014144,1433.218635,0.000000,202.687723,1.000000,50
