scenario_label,DQTA(k_max=3),DRCT,EMDT,LAPCT,NLHQT(n=2),SGCT
random,30258.02,28885.88,19902.0,20041.56,28236.34,11911.04
prefix80,27183.66,25136.4,19898.7,20041.08,26440.54,10513.0
dispersed,27098.14,76195.44,19944.34,20041.12,26446.88,10723.8
sequential,15726.0,20174.0,19881.76,20097.0,23339.0,10315.0
clustered,30281.56,29818.72,19930.54,20081.36,28673.62,12786.62
