scenario_label,DQTA(k_max=3),DRCT,EMDT,LAPCT,NLHQT(n=2),SGCT
random,9282.96,14441.94,5942.96,10041.56,18236.34,1911.04
prefix80,8565.6,12567.2,5943.54,10041.08,16440.54,513.0
dispersed,15088.64,38096.72,5961.08,10041.12,16446.88,723.8
sequential,5723.0,10086.0,5934.62,10095.0,13339.0,315.0
clustered,9290.88,14908.36,5945.66,10075.64,18673.62,2786.62
