scenario_label,DQTA(k_max=3),DRCT,EMDT,LAPCT,NLHQT(n=2),SGCT
random,34900.0,43328.82,19902.0,19956.44,17234.84,13820.6
prefix80,31466.96,37704.6,19898.7,19956.92,16184.08,11027.0
dispersed,34642.96,114293.16,19944.34,19956.88,16190.48,11237.8
sequential,18588.0,30261.0,19881.76,19905.0,13337.0,10631.0
clustered,34927.5,44728.08,19930.54,19928.08,17453.54,15570.34
