scenario_label,algorithm_name,metric,n,mean,std,ci95,p50,p95,min,max
clustered,SGCT,hash_short_id_round_count,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clustered,SGCT,hash_short_id_split_count,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dispersed,DQTA(k_max=3),peak_stack_depth,50,18.36,2.077675310022611,0.5759022139217734,18.0,21.549999999999997,14.0,25.0
dispersed,DQTA(k_max=3),total_steps,50,34642.96,3300.812818636263,914.9386339741917,34179.0,40302.6,28693.0,41190.0
dispersed,DQTA(k_max=3),total_slots,50,27098.14,2331.522249606073,646.2649957280372,26827.0,30710.7,23249.0,33198.0
dispersed,DQTA(k_max=3),collision_slots,50,15088.64,2402.7126741010284,665.9979746390825,15027.0,19093.2,10179.0,19961.0
dispersed,DQTA(k_max=3),idle_slots,50,2009.5,1782.357922894872,494.04441052196916,1591.0,5808.749999999999,0.0,8335.0
dispersed,DQTA(k_max=3),avg_tag_responses,50,9.585866000000001,0.994890563894608,0.27576959479320706,9.58015,11.331215,7.4531,11.5706
dispersed,DRCT,peak_stack_depth,50,12.92,0.488228785446716,0.13533011490425917,13.0,14.0,12.0,14.0
dispersed,DRCT,total_steps,50,114293.16,31421.99894222037,8709.733743948374,111963.0,176870.1,67989.0,197487.0
dispersed,DRCT,total_slots,50,76195.44,20947.99929481358,5806.48916263225,74642.0,117913.4,45326.0,131658.0
dispersed,DRCT,collision_slots,50,38096.72,10473.99964740679,2903.244581316125,37320.0,58955.7,22662.0,65828.0
dispersed,DRCT,idle_slots,50,28098.72,10473.99964740679,2903.244581316125,27322.0,48957.7,12664.0,55830.0
dispersed,DRCT,avg_tag_responses,50,88.39421199999998,3.203921490709249,0.8880817280881702,89.00135,92.57976500000001,81.5547,92.9016
dispersed,EMDT,peak_stack_depth,50,46.88,1.6859563990779347,0.4673232714085614,47.0,49.55,44.0,52.0
dispersed,EMDT,total_steps,50,19944.34,200.2950486922037,55.51895496999201,19919.5,20277.25,19556.0,20462.0
dispersed,EMDT,total_slots,50,19944.34,200.2950486922037,55.51895496999201,19919.5,20277.25,19556.0,20462.0
dispersed,EMDT,collision_slots,50,5961.08,109.28764517435216,30.29298972105592,5949.0,6150.2,5774.0,6251.0
dispersed,EMDT,idle_slots,50,3983.26,115.84944663533912,32.11182829052248,3980.0,4195.7,3745.0,4246.0
dispersed,EMDT,avg_tag_responses,50,5.318658,0.023649283459827405,0.0065552469322215515,5.317349999999999,5.359605,5.2732,5.37
dispersed,LAPCT,peak_stack_depth,50,17.82,0.6288960200872897,0.17432108306226188,18.0,19.0,17.0,20.0
dispersed,LAPCT,total_steps,50,19956.88,0.4797958749641904,0.13299263137482467,19957.0,19957.0,19955.0,19957.0
dispersed,LAPCT,total_slots,50,20041.12,0.4797958749641904,0.13299263137482467,20041.0,20042.1,20041.0,20043.0
dispersed,LAPCT,collision_slots,50,10041.12,0.47979587496419046,0.13299263137482467,10041.0,10042.1,10041.0,10043.0
dispersed,LAPCT,idle_slots,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dispersed,LAPCT,avg_tag_responses,50,11.575632000000002,0.00694525061624485,0.0019251252526524183,11.57645,11.584185,11.5514,11.5901
dispersed,NLHQT(n=2),peak_stack_depth,50,20.9,0.7354021529276429,0.2038430768998545,21.0,22.0,20.0,23.0
dispersed,NLHQT(n=2),total_steps,50,16190.48,31.09251501239355,8.61840545808794,16191.5,16244.0,16124.0,16264.0
dispersed,NLHQT(n=2),total_slots,50,26446.88,40.329074942456664,11.178649249350299,26446.0,26515.15,26362.0,26536.0
dispersed,NLHQT(n=2),collision_slots,50,16446.88,40.329074942456664,11.178649249350299,16446.0,16515.15,16362.0,16536.0
dispersed,NLHQT(n=2),idle_slots,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dispersed,NLHQT(n=2),avg_tag_responses,50,9.30852,0.006263662617650824,0.001736198698306187,9.309,9.318200000000001,9.2964,9.325
dispersed,SGCT,peak_stack_depth,50,256.0,0.0,0.0,256.0,256.0,256.0,256.0
dispersed,SGCT,total_steps,50,11237.8,111.90994922121034,31.019855318811526,11284.0,11284.0,11028.0,11539.0
dispersed,SGCT,total_slots,50,10723.8,111.90994922121034,31.019855318811526,10770.0,10770.0,10514.0,11025.0
dispersed,SGCT,collision_slots,50,723.8,111.90994922121034,31.019855318811526,770.0,770.0,514.0,1025.0
dispersed,SGCT,idle_slots,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dispersed,SGCT,avg_tag_responses,50,5.7,0.4629100498862757,0.1283121194587635,6.0,6.0,5.0,6.0
dispersed,SGCT,epc_verification_count,50,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0
dispersed,SGCT,progressive_probe_count,50,467.8,111.90994922121034,31.019855318811526,514.0,514.0,258.0,769.0
dispersed,SGCT,signature_grouping_trigger_count,50,257.0,0.0,0.0,257.0,257.0,257.0,257.0
dispersed,SGCT,local_short_id_trigger_count,50,257.0,0.0,0.0,257.0,257.0,257.0,257.0
dispersed,SGCT,signature_groups_pruned,50,55536.0,0.0,0.0,55536.0,55536.0,55536.0,55536.0
dispersed,SGCT,sparse_signature_groups,50,10256.0,0.0,0.0,10256.0,10256.0,10256.0,10256.0
dispersed,SGCT,signature_collision_groups,50,256.0,0.0,0.0,256.0,256.0,256.0,256.0
dispersed,SGCT,signature_singleton_groups,50,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0
dispersed,SGCT,low_d_fallback_count,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dispersed,SGCT,suffix_signature_trigger_count,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dispersed,SGCT,hash_short_id_round_count,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dispersed,SGCT,hash_short_id_split_count,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prefix80,DQTA(k_max=3),peak_stack_depth,50,27.42,0.8103916916390191,0.2246291165454737,27.5,28.549999999999997,26.0,29.0
prefix80,DQTA(k_max=3),total_steps,50,31466.96,119.50560741689752,33.1252643545678,31462.0,31645.15,31147.0,31764.0
prefix80,DQTA(k_max=3),total_slots,50,27183.66,110.2243741332253,30.5526377414455,27174.0,27362.45,26921.0,27423.0
prefix80,DQTA(k_max=3),collision_slots,50,8565.6,50.868778765183905,14.100106098891596,8562.0,8640.1,8451.0,8681.0
prefix80,DQTA(k_max=3),idle_slots,50,8618.06,108.47352917008021,30.06732827771699,8629.0,8790.9,8388.0,8812.0
prefix80,DQTA(k_max=3),avg_tag_responses,50,5.064474,0.004968135608915283,0.0013770969325359948,5.0639,5.073485,5.0553,5.0757
prefix80,DRCT,peak_stack_depth,50,12.98,0.47337261502231115,0.13121219455523178,13.0,14.0,12.0,14.0
prefix80,DRCT,total_steps,50,37704.6,128.59142701611495,35.643725057855555,37683.0,37914.0,37503.0,38010.0
prefix80,DRCT,total_slots,50,25136.4,85.7276180107433,23.762483371903702,25122.0,25276.0,25002.0,25340.0
prefix80,DRCT,collision_slots,50,12567.2,42.86380900537165,11.881241685951851,12560.0,12637.0,12500.0,12669.0
prefix80,DRCT,idle_slots,50,2569.2,42.86380900537165,11.881241685951851,2562.0,2639.0,2502.0,2671.0
prefix80,DRCT,avg_tag_responses,50,94.14090999999999,0.010024017077367834,0.0027785157764535283,94.1387,94.159485,94.1243,94.1636
prefix80,EMDT,peak_stack_depth,50,46.84,1.5825579913287118,0.43866269501748145,47.0,49.55,44.0,50.0
prefix80,EMDT,total_steps,50,19898.7,239.9461886952734,66.50969024134753,19885.0,20337.75,19473.0,20565.0
prefix80,EMDT,total_slots,50,19898.7,239.9461886952734,66.50969024134753,19885.0,20337.75,19473.0,20565.0
prefix80,EMDT,collision_slots,50,5943.54,112.1333408155174,31.08177630959981,5942.0,6120.2,5723.0,6173.0
prefix80,EMDT,idle_slots,50,3955.16,142.45434069790036,39.486328684242096,3969.5,4205.349999999999,3710.0,4392.0
prefix80,EMDT,avg_tag_responses,50,5.315668,0.022202090727070318,0.0061541055725751114,5.31515,5.350745,5.2691,5.3663
prefix80,LAPCT,peak_stack_depth,50,17.82,0.6907552802135191,0.1914675951695221,18.0,19.0,17.0,20.0
prefix80,LAPCT,total_steps,50,19956.92,0.39589732744431483,0.10973714047668638,19957.0,19957.0,19955.0,19957.0
prefix80,LAPCT,total_slots,50,20041.08,0.39589732744431483,0.10973714047668638,20041.0,20041.0,20041.0,20043.0
prefix80,LAPCT,collision_slots,50,10041.08,0.3958973274443148,0.10973714047668637,10041.0,10041.0,10041.0,10043.0
prefix80,LAPCT,idle_slots,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prefix80,LAPCT,avg_tag_responses,50,11.57579,0.005577588170160878,0.0015460285637723566,11.5761,11.58332,11.5569,11.5853
prefix80,NLHQT(n=2),peak_stack_depth,50,21.02,0.7420325093268887,0.2056809179287179,21.0,22.0,20.0,23.0
prefix80,NLHQT(n=2),total_steps,50,16184.08,26.545179046528297,7.357948235751595,16182.0,16233.1,16144.0,16262.0
prefix80,NLHQT(n=2),total_slots,50,26440.54,35.52878108962206,9.848075678019539,26434.5,26505.8,26361.0,26526.0
prefix80,NLHQT(n=2),collision_slots,50,16440.54,35.52878108962206,9.848075678019539,16434.5,16505.8,16361.0,16526.0
prefix80,NLHQT(n=2),idle_slots,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prefix80,NLHQT(n=2),avg_tag_responses,50,9.307132000000001,0.005823858038189006,0.0016142910884967218,9.3055,9.3185,9.2953,9.3209
prefix80,SGCT,peak_stack_depth,50,256.0,0.0,0.0,256.0,256.0,256.0,256.0
prefix80,SGCT,total_steps,50,11027.0,0.0,0.0,11027.0,11027.0,11027.0,11027.0
prefix80,SGCT,total_slots,50,10513.0,0.0,0.0,10513.0,10513.0,10513.0,10513.0
prefix80,SGCT,collision_slots,50,513.0,0.0,0.0,513.0,513.0,513.0,513.0
prefix80,SGCT,idle_slots,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prefix80,SGCT,avg_tag_responses,50,4.0,0.0,0.0,4.0,4.0,4.0,4.0
prefix80,SGCT,epc_verification_count,50,10000.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0
prefix80,SGCT,progressive_probe_count,50,257.0,0.0,0.0,257.0,257.0,257.0,257.0
prefix80,SGCT,signature_grouping_trigger_count,50,257.0,0.0,0.0,257.0,257.0,257.0,257.0
prefix80,SGCT,local_short_id_trigger_count,50,257.0,0.0,0.0,257.0,257.0,257.0,257.0
prefix80,SGCT,signature_groups_pruned,50,55536.0,0.0,0.0,55536.0,55536.0,55536.0,55536.0
prefix80,SGCT,sparse_signature_groups,50,10256.0,0.0,0.0,10256.0,10256.0,10256.0,10256.0
