scenario_label,DQTA(k_max=3),DRCT,EMDT,LAPCT,NLHQT(n=2),SGCT
random,10975.06,4443.94,3959.04,0.0,0.0,0.0
prefix80,8618.06,2569.2,3955.16,0.0,0.0,0.0
dispersed,2009.5,28098.72,3983.26,0.0,0.0,0.0
sequential,3.0,88.0,3947.14,2.0,0.0,0.0
clustered,10990.68,4910.36,3984.88,5.72,0.0,0.0
