experiment_name,scenario,run_id,point_seed,algorithm,algorithm_seed,tag_count,epc_length,status,runtime,scenario_point,algorithm_name
formal_sgct_ber_robustness,random,3,494173958,DQTA(k_max=3),3564012425,10000,96,ok,,"scenario_label=random,ber=0.001",DQTA(k_max=3)
formal_sgct_ber_robustness,prefix80,3,566484335,DQTA(k_max=3),2311970297,10000,96,ok,,"scenario_label=prefix80,ber=0.0",DQTA(k_max=3)
formal_sgct_ber_robustness,prefix80,3,3884856058,DQTA(k_max=3),1246997433,10000,96,ok,,"scenario_label=prefix80,ber=1e-05",DQTA(k_max=3)
formal_sgct_ber_robustness,prefix80,3,3429180705,DQTA(k_max=3),705555453,10000,96,ok,,"scenario_label=prefix80,ber=0.0001",DQTA(k_max=3)
formal_sgct_ber_robustness,prefix80,3,4035051698,DQTA(k_max=3),2140422760,10000,96,ok,,"scenario_label=prefix80,ber=0.001",DQTA(k_max=3)
formal_sgct_ber_robustness,clustered,3,261219516,DQTA(k_max=3),1297618930,10000,96,ok,,"scenario_label=clustered,ber=0.0",DQTA(k_max=3)
formal_sgct_ber_robustness,clustered,3,1643884903,DQTA(k_max=3),4210898009,10000,96,ok,,"scenario_label=clustered,ber=1e-05",DQTA(k_max=3)
formal_sgct_ber_robustness,clustered,3,4233063331,DQTA(k_max=3),3798647943,10000,96,ok,,"scenario_label=clustered,ber=0.0001",DQTA(k_max=3)
formal_sgct_ber_robustness,clustered,3,2975298786,DQTA(k_max=3),1976976419,10000,96,ok,,"scenario_label=clustered,ber=0.001",DQTA(k_max=3)
formal_sgct_ber_robustness,random,4,3141987135,DQTA(k_max=3),2096859922,10000,96,ok,,"scenario_label=random,ber=0.0",DQTA(k_max=3)
formal_sgct_ber_robustness,random,4,767520966,DQTA(k_max=3),182941502,10000,96,ok,,"scenario_label=random,ber=1e-05",DQTA(k_max=3)
formal_sgct_ber_robustness,random,4,1589784827,DQTA(k_max=3),3778997875,10000,96,ok,,"scenario_label=random,ber=0.0001",DQTA(k_max=3)
formal_sgct_ber_robustness,random,4,35768960,DQTA(k_max=3),959416587,10000,96,ok,,"scenario_label=random,ber=0.001",DQTA(k_max=3)
formal_sgct_ber_robustness,prefix80,4,359637237,DQTA(k_max=3),3418069383,10000,96,ok,,"scenario_label=prefix80,ber=0.0",DQTA(k_max=3)
