scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
scenario_label=clustered,8059160.3616,11640533.2809,13166824.8262,6830745.1429,46840549.3389,14837915.9206,12613793.8887,5071851.2314
scenario_label=dispersed,11691767.8620,29409400.9894,16137273.1123,6857349.8267,46704669.1145,15188243.5444,4590982.7745,3389274.5745
scenario_label=prefix64,8055723.8007,11604327.1666,13693465.7548,6842948.7609,46872418.3278,14941606.1277,5775341.1282,4398294.5887
scenario_label=prefix72,8036329.8953,12058346.3596,13980765.5174,6837604.4933,46479820.6150,15188984.5247,5344032.5396,4046286.9140
scenario_label=prefix80,7393710.6539,10944768.9027,14306261.5895,6851953.7888,46492101.8281,15427583.4428,4591887.8445,2774038.6647
scenario_label=prefixed,8097341.5357,10624349.2535,13058426.7197,6850761.1277,46668742.8677,14446876.3263,6640009.6822,4712564.5234
scenario_label=random,8205757.2241,7624125.8163,11180759.3215,6829219.0038,46895711.5211,12962666.9589,9224652.9635,5650944.6962
scenario_label=sequential,4896178.5590,9046525.8630,14975884.6032,6838734.9424,47148479.9365,15463069.7300,3582575.1960,2324736.5260
