scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,LAPCT,NLHQT(n=2),SGCT
scenario_label=clustered,25.6800,12.9600,2456.2600,46.9600,17.7000,20.2200,35.4600
scenario_label=dispersed,17.2800,13.0600,2455.8400,46.7800,17.7000,21.0400,256.0000
scenario_label=prefix64,27.3800,13.1200,2457.7400,46.5800,17.7600,21.2200,258.5200
scenario_label=prefix72,27.3400,13.0600,2458.1400,47.1200,17.8000,20.9400,258.6200
scenario_label=prefix80,27.4600,13.1200,2456.5200,46.9400,17.6000,20.9600,256.0000
scenario_label=prefixed,27.2200,13.1400,2457.9200,46.4000,17.8600,21.0800,258.4200
scenario_label=random,27.5000,12.9800,2456.6000,46.8800,17.8000,20.9400,258.0400
scenario_label=sequential,25.0000,14.0000,2456.6600,46.5800,17.0000,21.0000,157.0000
