TOTAL_TAGS,BINARY_LENGTH,scenario_label,id_distribution,scenario_point,ber,enable_refined_energy_model,enable_resource_monitoring,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,peak_unidentified_tags_count,drct_query_count,drct_r0_collision_count,drct_r1_collision_count,drct_r1_sedepth_increment_count,check_answer_alias_count,prefix_length,cluster_count,cluster_prefix_length,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms,total_reader_tx_energy_uj,total_tag_tx_energy_uj,energy_per_tag_uj,drct_random_check_count,drct_unresolved_stack_empty_count,channel_use_ratio
10000,96,prefix64,prefixed,scenario_label=prefix64,0.000000,True,True,formal_experiment10_algorithm_comparison,1416633314,3202635983,16028512.500000,927036.000000,2492898.000000,34877,8002749.277625,3100.521000,8005849.798625,10000,10000,11024,9235,,,,,,,,,,,,,,,,,,,,5.163600,,623.888212,DQTA(k_max=3),1,28.000000,,,,,,,64.000000,,,30259,0.330480,249.289800,92.703600,3419934.000000,341.993400,1.082837,16028.512500,,,,,,
10000,96,prefix72,prefixed,scenario_label=prefix72,0.000000,True,True,formal_experiment10_algorithm_comparison,4054706784,2794844135,16042262.500000,1005568.000000,1666285.000000,34774,8088057.645000,2844.278500,8090901.923500,10000,10000,10861,9275,,,,,,,,,,,,,,,,,,,,5.164900,,623.353470,DQTA(k_max=3),1,27.000000,,,,,,,72.000000,,,30136,0.331829,166.628500,100.556800,2671853.000000,267.185300,1.078167,16042.262500,,,,,,
10000,96,prefix80,prefixed,scenario_label=prefix80,0.000000,True,True,formal_experiment10_algorithm_comparison,4026730667,799737688,14833320.000000,998235.000000,848265.000000,31402,7410786.401250,2420.602500,7413207.003750,10000,10000,8470,8621,,,,,,,,,,,,,,,,,,,,5.071200,,674.157909,DQTA(k_max=3),1,29.000000,,,,,,,80.000000,,,27091,0.369126,84.826500,99.823500,1846500.000000,184.650000,1.159958,14833.320000,,,,,,
10000,96,dispersed,dispersed,scenario_label=dispersed,0.000000,True,True,formal_experiment10_algorithm_comparison,512815062,2548717327,18545093.750000,1229525.000000,6061483.000000,34128,9320786.920625,5489.791500,9326276.712125,10000,10000,7410,11145,,,,,,,,,,,,,,,,,,,,11.374300,,539.226177,DQTA(k_max=3),1,13.000000,,,,,,,,,,28555,0.350201,606.148300,122.952500,7291008.000000,729.100800,0.897263,18545.093750,,,,,,
10000,96,sequential,sequential,scenario_label=sequential,0.000000,True,True,formal_experiment10_algorithm_comparison,307044453,968875026,9760685.000000,670128.000000,659744.000000,18588,4896178.559000,1670.128000,4897848.687000,10000,10000,3,5723,,,,,,,,,,,,,,,,,,,,4.998400,,1024.518259,DQTA(k_max=3),1,25.000000,,,,,,,,,,15726,0.635890,65.974400,67.012800,1329872.000000,132.987200,1.747335,9760.685000,,,,,,
10000,96,clustered,clustered,scenario_label=clustered,0.000000,True,True,formal_experiment10_algorithm_comparison,1347204990,1369161562,16132282.500000,904720.000000,4483074.000000,35088,8061459.205250,4050.977000,8065510.182250,10000,10000,11151,9291,,,,,,,,,,,,,,,,,,,,5.415700,,619.875086,DQTA(k_max=3),1,27.000000,,,,,,,,8.000000,64.000000,30442,0.328494,448.307400,90.472000,5387794.000000,538.779400,1.076310,16132.282500,,,,,,
10000,96,random,random,scenario_label=random,0.000000,True,True,formal_experiment10_algorithm_comparison,2952453941,236848089,16471015.000000,340533.000000,9112607.000000,35190,8222465.893750,5237.369500,8227703.263250,10000,10000,11154,9357,,,,,,,,,,,,,,,,,,,,5.170100,,607.127126,DQTA(k_max=3),2,26.000000,,,,,,,,,,30511,0.327751,911.260700,34.053300,9453140.000000,945.314000,1.068719,16471.015000,,,,,,
10000,96,prefixed,prefixed,scenario_label=prefixed,0.000000,True,True,formal_experiment10_algorithm_comparison,2156894236,1477876054,16206180.000000,785475.000000,4147018.000000,35005,8084822.653500,3644.459000,8088467.112500,10000,10000,11041,9309,,,,,,,,,,,,,,,,,,,,5.166200,,617.048558,DQTA(k_max=3),2,27.000000,,,,,,,48.000000,,,30350,0.329489,414.701800,78.547500,4932493.000000,493.249300,1.074229,16206.180000,,,,,,
10000,96,prefix64,prefixed,scenario_label=prefix64,0.000000,True,True,formal_experiment10_algorithm_comparison,1579062743,1718282171,16136490.000000,935389.000000,2493131.000000,34786,8103643.515250,3117.343500,8106760.858750,10000,10000,10810,9317,,,,,,,,,,,,,,,,,,,,5.164500,,619.713457,DQTA(k_max=3),2,27.000000,,,,,,,64.000000,,,30127,0.331928,249.313100,93.538900,3428520.000000,342.852000,1.073307,16136.490000,,,,,,
10000,96,prefix72,prefixed,scenario_label=prefix72,0.000000,True,True,formal_experiment10_algorithm_comparison,3098683715,2226466653,16063631.250000,1006407.000000,1668050.000000,34919,8054435.354500,2846.839000,8057282.193500,10000,10000,10991,9285,,,,,,,,,,,,,,,,,,,,5.170600,,622.524250,DQTA(k_max=3),2,27.000000,,,,,,,72.000000,,,30276,0.330295,166.805000,100.640700,2674457.000000,267.445700,1.077006,16063.631250,,,,,,
