experiment_name,algorithm_name,run_id,point_seed,algorithm_seed,id_distribution
formal_distribution_robustness,DQTA(k_max=3),21,3286870680,2926692716,random
formal_distribution_robustness,DQTA(k_max=3),21,362681613,2639884543,prefixed
formal_distribution_robustness,DQTA(k_max=3),21,998318072,401195430,sequential
formal_distribution_robustness,DQTA(k_max=3),21,1625762580,2237795144,dispersed
formal_distribution_robustness,DQTA(k_max=3),22,44382793,3674124629,random
formal_distribution_robustness,DQTA(k_max=3),22,1782518140,2194600596,prefixed
formal_distribution_robustness,DQTA(k_max=3),22,2140672480,4212555287,sequential
formal_distribution_robustness,DQTA(k_max=3),22,1826108512,2267754033,dispersed
formal_distribution_robustness,DQTA(k_max=3),23,1861644480,3945559648,random
formal_distribution_robustness,DQTA(k_max=3),23,592695753,2058038141,prefixed
formal_distribution_robustness,DQTA(k_max=3),23,3987826168,2667449272,sequential
formal_distribution_robustness,DQTA(k_max=3),23,3754806040,2316926655,dispersed
formal_distribution_robustness,DQTA(k_max=3),24,3949326446,3604467704,random
formal_distribution_robustness,DQTA(k_max=3),24,3812003300,1028785858,prefixed
formal_distribution_robustness,DQTA(k_max=3),24,3450956412,2395102093,sequential
formal_distribution_robustness,DQTA(k_max=3),24,1409138236,704794473,dispersed
formal_distribution_robustness,DQTA(k_max=3),25,652446159,2491489724,random
formal_distribution_robustness,DQTA(k_max=3),25,1186402450,1192825364,prefixed
formal_distribution_robustness,DQTA(k_max=3),25,1217400395,2069701359,sequential
formal_distribution_robustness,DQTA(k_max=3),25,3009963048,1966831880,dispersed
formal_distribution_robustness,DQTA(k_max=3),26,136704418,3315772627,random
formal_distribution_robustness,DQTA(k_max=3),26,2806695456,2737791270,prefixed
formal_distribution_robustness,DQTA(k_max=3),26,157453798,1633888308,sequential
formal_distribution_robustness,DQTA(k_max=3),26,959228620,1380143410,dispersed
formal_distribution_robustness,DQTA(k_max=3),27,2389353742,814727459,random
formal_distribution_robustness,DQTA(k_max=3),27,410493538,3668757053,prefixed
formal_distribution_robustness,DQTA(k_max=3),27,1866979918,470586224,sequential
formal_distribution_robustness,DQTA(k_max=3),27,859293273,1739015189,dispersed
formal_distribution_robustness,DQTA(k_max=3),28,4178630958,4187941881,random
formal_distribution_robustness,DQTA(k_max=3),28,4069219951,2316633649,prefixed
formal_distribution_robustness,DQTA(k_max=3),28,1731965994,2680774442,sequential
formal_distribution_robustness,DQTA(k_max=3),28,3893649872,3382373077,dispersed
formal_distribution_robustness,DQTA(k_max=3),29,2239372623,2067771965,random
formal_distribution_robustness,DQTA(k_max=3),29,1320479914,1870000147,prefixed
formal_distribution_robustness,DQTA(k_max=3),29,2551582045,1239651586,sequential
formal_distribution_robustness,DQTA(k_max=3),29,2807615922,1617065962,dispersed
formal_distribution_robustness,DQTA(k_max=3),30,430034609,1098802998,random
formal_distribution_robustness,DQTA(k_max=3),30,1106840305,2447746172,prefixed
formal_distribution_robustness,DQTA(k_max=3),30,1369318889,2058763631,sequential
formal_distribution_robustness,DQTA(k_max=3),30,286921111,4204380725,dispersed
formal_distribution_robustness,DQTA(k_max=3),31,3068578620,335643468,random
formal_distribution_robustness,DQTA(k_max=3),31,3034296271,1541802797,prefixed
formal_distribution_robustness,DQTA(k_max=3),31,3972845376,253828183,sequential
formal_distribution_robustness,DQTA(k_max=3),31,1168826164,3890934048,dispersed
formal_distribution_robustness,DQTA(k_max=3),32,2345406318,2095577467,random
formal_distribution_robustness,DQTA(k_max=3),32,1248880867,942789772,prefixed
formal_distribution_robustness,DQTA(k_max=3),32,883223040,3022495614,sequential
formal_distribution_robustness,DQTA(k_max=3),32,1644936692,3153775801,dispersed
formal_distribution_robustness,DQTA(k_max=3),33,2598158464,2907477316,random
formal_distribution_robustness,DQTA(k_max=3),33,3584638671,1033423962,prefixed
formal_distribution_robustness,DQTA(k_max=3),33,2645650038,2146720325,sequential
formal_distribution_robustness,DQTA(k_max=3),33,1372107406,3341221971,dispersed
formal_distribution_robustness,DQTA(k_max=3),34,2246960812,2740884790,random
formal_distribution_robustness,DQTA(k_max=3),34,475851482,1396344400,prefixed
formal_distribution_robustness,DQTA(k_max=3),34,4185612650,2858982885,sequential
formal_distribution_robustness,DQTA(k_max=3),34,4082312614,3011135166,dispersed
formal_distribution_robustness,DQTA(k_max=3),35,604582284,1540554613,random
formal_distribution_robustness,DQTA(k_max=3),35,216918161,4094091958,prefixed
formal_distribution_robustness,DQTA(k_max=3),35,670471843,617096508,sequential
formal_distribution_robustness,DQTA(k_max=3),35,3897041955,3258746056,dispersed
formal_distribution_robustness,DQTA(k_max=3),36,1473824133,523481312,random
formal_distribution_robustness,DQTA(k_max=3),36,1889046683,2223851953,prefixed
formal_distribution_robustness,DQTA(k_max=3),36,788604227,2778485804,sequential
formal_distribution_robustness,DQTA(k_max=3),36,375271518,1120942985,dispersed
formal_distribution_robustness,DQTA(k_max=3),37,620850227,1658121638,random
formal_distribution_robustness,DQTA(k_max=3),37,161039046,119240640,prefixed
formal_distribution_robustness,DQTA(k_max=3),37,1926833414,3350353674,sequential
formal_distribution_robustness,DQTA(k_max=3),37,2729601514,3586377526,dispersed
formal_distribution_robustness,DQTA(k_max=3),38,682340189,2397169945,random
formal_distribution_robustness,DQTA(k_max=3),38,763722716,4172778184,prefixed
formal_distribution_robustness,DQTA(k_max=3),38,37223946,987532313,sequential
formal_distribution_robustness,DQTA(k_max=3),38,899971363,1459089302,dispersed
formal_distribution_robustness,DQTA(k_max=3),39,731729667,3017872959,random
formal_distribution_robustness,DQTA(k_max=3),39,254106216,2486667039,prefixed
formal_distribution_robustness,DQTA(k_max=3),39,1633611682,3369500915,sequential
formal_distribution_robustness,DQTA(k_max=3),39,4293629712,1242039898,dispersed
formal_distribution_robustness,DQTA(k_max=3),40,72887177,1366662140,random
formal_distribution_robustness,DQTA(k_max=3),40,4276841357,1278357499,prefixed
formal_distribution_robustness,DQTA(k_max=3),40,1686214375,416769510,sequential
formal_distribution_robustness,DQTA(k_max=3),40,1539617188,4043410841,dispersed
formal_distribution_robustness,DQTA(k_max=3),41,2850440554,3194103571,random
