id_distribution,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
dispersed,164.5734,426.0406,233.7533,25.5252,214.6358,88.2821,261.2569,214.1784,223.3622,78.5207,58.7194,209.1113,39.7851,0.7334
prefixed,74.9937,129.2890,186.1702,25.6132,149.0961,56.3662,262.0137,164.3346,198.5401,86.6299,63.8244,42.5951,41.0504,0.7231
random,31.8953,56.5907,146.2064,25.6424,62.5174,38.2002,260.8594,68.3472,150.9496,86.6937,63.8358,17.2828,32.6045,0.7313
sequential,134.7880,127.3510,223.8712,25.6206,156.4788,61.2110,261.5777,233.9604,233.3196,69.0498,58.0922,78.4244,30.5308,0.7222
