id_distribution,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
dispersed,0.6775,0.2790,0.7911,1.7252,1.0034,1.6137,0.0985,1.0002,0.9919,0.4005,0.6013,1.0349,7.0444,5000.0000
prefixed,1.1136,0.6892,1.2023,1.7120,1.5866,2.4796,0.0981,1.0002,0.9919,0.3468,0.5501,3.2354,5.7022,5000.0000
random,1.1133,0.6928,1.2042,1.7083,1.5863,2.4653,0.0986,1.0002,0.9919,0.3463,0.5496,3.2492,5.7074,5000.0000
sequential,0.8761,0.9829,1.1094,1.7086,2.9976,2.9727,0.0984,1.0002,0.9938,0.4994,0.5996,2.7701,15.8730,5000.0000
