id_distribution,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
dispersed,3069481.1481,7568665.1301,4102482.5685,1739498.4644,3773506.9040,2689605.0273,9283244.1376,3726879.6519,3794649.7145,1515640.2473,1126600.5282,3614533.6347,985107.5287,1466368.3904
prefixed,1969723.3941,2647483.7235,3266365.7640,1745751.0806,2915109.4848,1974535.8271,9321466.4915,3337357.0332,3601521.2722,2285909.2260,1645189.3614,746470.9399,1217062.8095,1466186.7790
random,2007617.1256,1893088.2105,2795356.0407,1746905.0711,1936973.7640,1690141.5266,9266417.1378,2586686.8657,3234384.2189,3205742.7159,2291641.2558,509632.9663,1458894.9891,1467290.0847
sequential,2341112.5755,2286007.3165,3750989.5424,1745888.7938,2714194.8250,2068577.8162,9300440.9635,3882153.0595,3870352.9335,1306116.0320,1094078.7830,1061655.7640,650227.4155,1466902.1082
