id_distribution,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
dispersed,655.0735,790.6159,323.5773,169.5775,241.5397,256.6405,535.7036,639.6961,457.7771,153.0488,133.9332,614.5002,121.5451,229.6638
prefixed,465.9453,413.3921,259.9708,169.6662,200.6559,198.7313,537.0609,778.4198,594.2461,197.2506,175.9443,205.7051,124.2367,228.9535
random,884.1425,201.0417,286.8357,169.7007,162.0717,180.5536,535.1460,1287.9827,1008.2028,293.3132,271.9528,217.2340,163.7890,229.1667
sequential,191.7656,511.4298,249.6282,169.6619,173.1632,201.1966,536.2665,404.1348,292.6684,108.0498,97.0922,215.4092,63.5228,229.5263
