id_distribution,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
dispersed,3072353.1326,7573836.9746,4105044.6613,1740113.8471,3775720.5218,2690908.7442,9286542.8232,3730085.2301,3797469.3739,1516611.7744,1127375.7568,3617638.2197,985709.7796,1466948.0504
prefixed,1971450.7104,2649486.8715,3268411.9679,1746367.3450,2916729.3454,1975455.4019,9324774.2462,3340535.5922,3604495.9380,2287052.0769,1646107.9056,747304.6657,1217681.2790,1466764.5860
random,2010066.6965,1894015.2448,2797169.6777,1747521.6409,1937847.8241,1690879.4125,9269711.4481,2590419.4262,3238036.8477,3207126.2013,2292799.9063,510305.6724,1459548.9949,1467868.4861
sequential,2342602.8995,2288241.0235,3753292.6468,1746505.1030,2715801.3240,2069539.8903,9303743.4627,3884918.0995,3872834.5015,1306904.0300,1094757.2050,1062782.4700,650615.2035,1467481.3406
