id_distribution,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
dispersed,12249.2778,30178.6913,16412.4791,6956.4307,15081.3044,9565.5513,29731.3434,14892.2555,15163.6224,6056.8737,4503.2052,14488.5622,3884.3489,5853.6554
prefixed,7862.0835,10532.7192,13061.0094,6978.7082,11655.9949,7762.1173,29811.9102,13334.6362,14391.8656,9132.3915,6574.7807,3360.6371,4811.3273,5845.2152
random,8015.1391,7550.1509,11184.5666,6984.0187,7744.2068,6630.3012,29694.8488,10335.0287,12923.5619,12805.6319,9157.8356,2305.8962,5783.3497,5848.2586
sequential,9358.7463,9045.6588,15000.7056,6983.1655,10851.4850,7471.9963,29765.0307,15510.4425,15472.4400,5219.5387,4373.0275,5244.4775,2561.3900,5851.7377
