id_distribution,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
dispersed,418.3786,172.6047,307.0667,718.8370,331.7358,524.3530,168.2027,335.8077,329.7510,825.5177,1110.3290,347.7575,1293.2857,854.2724
prefixed,635.9934,474.7470,382.8249,716.5679,428.9686,644.1680,167.7354,374.9634,347.4185,547.5186,760.4950,1488.5948,1039.2906,855.4907
random,623.8412,662.2713,447.0492,716.0172,645.6473,754.1210,168.4081,483.7916,386.8902,390.4694,545.9929,2169.3930,864.5666,855.0643
sequential,534.2596,552.7513,333.3214,716.0883,460.7664,669.1652,168.0123,322.3635,323.1552,957.9391,1143.3726,953.3838,1952.0651,854.5877
