id_distribution,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
dispersed,2871.9845,5171.8445,2562.0928,615.3826,2213.6178,1303.7169,3298.6856,3205.5783,2819.6594,971.5272,775.2286,3104.5851,602.2510,579.6600
prefixed,1727.3163,2003.1480,2046.2038,616.2644,1619.8606,919.5748,3307.7547,3178.5591,2974.6659,1142.8509,918.5442,833.7257,618.4696,577.8070
random,2449.5710,927.0342,1813.6370,616.5698,874.0601,737.8859,3294.3103,3732.5605,3652.6288,1383.4854,1158.6505,672.7061,654.0058,578.4014
sequential,1490.3240,2233.7070,2303.1044,616.3092,1606.4990,962.0740,3302.4992,2765.0400,2481.5680,787.9980,678.4220,1126.7060,387.7880,579.2324
