id_distribution,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,FHS_RAC,HLCT-Base,HT_EEAC,ICT,LAPCT,NLHQT(n=1),NLHQT(n=2),SD-CGQT,SGCT,SUBF-CGDFSA
dispersed,3275367.4800,3953079.6200,1617886.5000,847887.4000,1207698.3200,1283202.6800,2678518.2400,3198480.3000,2288885.6600,765243.9200,669665.8800,3072501.0200,607725.4800,1148319.1200
prefixed,2329726.5200,2066960.3400,1299854.2000,848330.9200,1003279.3800,993656.2800,2685304.4800,3892099.1000,2971230.2600,986252.9800,879721.6800,1028525.3000,621183.7400,1144767.4800
random,4420712.3600,1005208.2800,1434178.6600,848503.5600,810358.7200,902768.0600,2675730.1200,6439913.5400,5041013.9600,1466565.8600,1359764.2400,1086170.2400,818944.7600,1145833.6800
sequential,958828.0000,2557149.0000,1248141.1800,848309.6400,865816.0000,1005983.0000,2681332.7200,2020674.0000,1463342.0000,540249.0000,485461.0000,1077046.0000,317614.0000,1147631.5600
