experiment_name,algorithm_name,run_id,point_seed,algorithm_seed,BINARY_LENGTH
formal_id_length_sweep,DQTA(k_max=3),0,1211239912,1888379287,20
formal_id_length_sweep,DQTA(k_max=3),0,696364180,785346055,40
formal_id_length_sweep,DQTA(k_max=3),0,303552650,3735597432,60
formal_id_length_sweep,DQTA(k_max=3),0,4021583103,293579505,80
formal_id_length_sweep,DQTA(k_max=3),0,552297578,104034602,96
formal_id_length_sweep,DQTA(k_max=3),0,3807197959,3631454320,100
formal_id_length_sweep,DQTA(k_max=3),0,2154439261,1995396128,128
formal_id_length_sweep,DQTA(k_max=3),0,53669434,2829550235,160
formal_id_length_sweep,DQTA(k_max=3),0,779954931,1039479851,192
formal_id_length_sweep,DQTA(k_max=3),0,4141531494,2976383606,256
formal_id_length_sweep,DQTA(k_max=3),1,1858058983,2825862913,20
formal_id_length_sweep,DQTA(k_max=3),1,3122866472,1252715309,40
formal_id_length_sweep,DQTA(k_max=3),1,3188470597,1946197581,60
formal_id_length_sweep,DQTA(k_max=3),1,475761283,1183502200,80
formal_id_length_sweep,DQTA(k_max=3),1,685656045,848213145,96
formal_id_length_sweep,DQTA(k_max=3),1,540925788,3544097285,100
formal_id_length_sweep,DQTA(k_max=3),1,942985826,3772985726,128
formal_id_length_sweep,DQTA(k_max=3),1,2817071578,3509044467,160
formal_id_length_sweep,DQTA(k_max=3),1,3051988228,1518181494,192
formal_id_length_sweep,DQTA(k_max=3),1,2260082378,133109719,256
formal_id_length_sweep,DQTA(k_max=3),2,3912097829,2732448423,20
formal_id_length_sweep,DQTA(k_max=3),2,2023914469,2159609155,40
formal_id_length_sweep,DQTA(k_max=3),2,847643342,1423253549,60
formal_id_length_sweep,DQTA(k_max=3),2,3958863349,2060768136,80
formal_id_length_sweep,DQTA(k_max=3),2,3666925827,2557894392,96
formal_id_length_sweep,DQTA(k_max=3),2,3946500883,779944211,100
formal_id_length_sweep,DQTA(k_max=3),2,3385053515,2947216045,128
formal_id_length_sweep,DQTA(k_max=3),2,2634534493,412955971,160
formal_id_length_sweep,DQTA(k_max=3),2,3982337167,2774211343,192
formal_id_length_sweep,DQTA(k_max=3),2,2754403413,2588877077,256
formal_id_length_sweep,DQTA(k_max=3),3,3020249695,4102820236,20
formal_id_length_sweep,DQTA(k_max=3),3,77608284,1455159960,40
formal_id_length_sweep,DQTA(k_max=3),3,3444491863,3997543917,60
formal_id_length_sweep,DQTA(k_max=3),3,550340296,2536887454,80
formal_id_length_sweep,DQTA(k_max=3),3,2694801678,2443276339,96
formal_id_length_sweep,DQTA(k_max=3),3,2158927053,149659744,100
formal_id_length_sweep,DQTA(k_max=3),3,3156282246,2507252161,128
formal_id_length_sweep,DQTA(k_max=3),3,744668023,3868115110,160
formal_id_length_sweep,DQTA(k_max=3),3,387767481,2940739950,192
formal_id_length_sweep,DQTA(k_max=3),3,2209102266,3611509473,256
formal_id_length_sweep,DQTA(k_max=3),4,2125843681,707107079,20
formal_id_length_sweep,DQTA(k_max=3),4,2758295573,2317911128,40
formal_id_length_sweep,DQTA(k_max=3),4,1453674214,2718125198,60
formal_id_length_sweep,DQTA(k_max=3),4,3544085237,2242601497,80
formal_id_length_sweep,DQTA(k_max=3),4,703264642,5425711,96
formal_id_length_sweep,DQTA(k_max=3),4,3484452798,1279847718,100
formal_id_length_sweep,DQTA(k_max=3),4,2319110515,1507605206,128
formal_id_length_sweep,DQTA(k_max=3),4,154816862,4069154041,160
formal_id_length_sweep,DQTA(k_max=3),4,569991421,984374910,192
formal_id_length_sweep,DQTA(k_max=3),4,3519591180,4176017783,256
formal_id_length_sweep,DQTA(k_max=3),5,1374789481,3373913065,20
formal_id_length_sweep,DQTA(k_max=3),5,3375286769,3056185991,40
formal_id_length_sweep,DQTA(k_max=3),5,10692317,3317171948,60
formal_id_length_sweep,DQTA(k_max=3),5,568073676,3150811510,80
formal_id_length_sweep,DQTA(k_max=3),5,1660733732,1280707561,96
formal_id_length_sweep,DQTA(k_max=3),5,284186581,1424099842,100
formal_id_length_sweep,DQTA(k_max=3),5,3069301506,8812130,128
formal_id_length_sweep,DQTA(k_max=3),5,2155917258,4170935815,160
formal_id_length_sweep,DQTA(k_max=3),5,20336627,1193277429,192
formal_id_length_sweep,DQTA(k_max=3),5,2575248428,3428163366,256
formal_id_length_sweep,DQTA(k_max=3),6,2194947846,1568023777,20
formal_id_length_sweep,DQTA(k_max=3),6,218666516,2784722545,40
formal_id_length_sweep,DQTA(k_max=3),6,1781867148,1111159702,60
formal_id_length_sweep,DQTA(k_max=3),6,179051958,113991537,80
formal_id_length_sweep,DQTA(k_max=3),6,1661541949,1500440162,96
formal_id_length_sweep,DQTA(k_max=3),6,1060733486,1365643204,100
formal_id_length_sweep,DQTA(k_max=3),6,148694115,3926101220,128
formal_id_length_sweep,DQTA(k_max=3),6,3486673516,2432293892,160
formal_id_length_sweep,DQTA(k_max=3),6,29087867,2074074944,192
formal_id_length_sweep,DQTA(k_max=3),6,2134829016,4062562097,256
formal_id_length_sweep,DQTA(k_max=3),7,1968542344,763151425,20
formal_id_length_sweep,DQTA(k_max=3),7,86975461,846478575,40
formal_id_length_sweep,DQTA(k_max=3),7,4252023073,1501564086,60
formal_id_length_sweep,DQTA(k_max=3),7,2196118756,1476595441,80
formal_id_length_sweep,DQTA(k_max=3),7,3453428222,2086875305,96
formal_id_length_sweep,DQTA(k_max=3),7,192241861,2598206547,100
formal_id_length_sweep,DQTA(k_max=3),7,782504862,680178899,128
